Country,Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Early-demographic dividend,1975,133.713185475226
Early-demographic dividend,1974,136.970430604094
Early-demographic dividend,1973,138.655184740015
Early-demographic dividend,1972,138.510925422199
Early-demographic dividend,1971,138.21747591118
Early-demographic dividend,1970,136.586637372805
Early-demographic dividend,1969,137.406807257202
Early-demographic dividend,1968,138.167554268607
Early-demographic dividend,1967,138.835942106077
Early-demographic dividend,1966,138.938633486716
Early-demographic dividend,1965,139.537463848693
Early-demographic dividend,1964,139.591107814673
Early-demographic dividend,1963,140.578660612425
Early-demographic dividend,1962,141.636401298472
Early-demographic dividend,1961,142.244786117404
Early-demographic dividend,1960,142.028864931129
East Asia & Pacific,2022,
East Asia & Pacific,2021,20.2488954171861
East Asia & Pacific,2020,20.7360501952705
East Asia & Pacific,2019,21.4174336326165
East Asia & Pacific,2018,21.7460265127827
East Asia & Pacific,2017,22.7653311577284
East Asia & Pacific,2016,23.1996578545524
East Asia & Pacific,2015,23.854944871092
East Asia & Pacific,2014,24.890185154292
East Asia & Pacific,2013,25.169603249648
East Asia & Pacific,2012,25.3444040507708
East Asia & Pacific,2011,24.8021184069416
East Asia & Pacific,2010,24.8676067715074
East Asia & Pacific,2009,24.2785485318186
East Asia & Pacific,2008,23.3595432010376
East Asia & Pacific,2007,22.3918605794631
East Asia & Pacific,2006,21.6023778073411
East Asia & Pacific,2005,21.2766878580973
East Asia & Pacific,2004,20.8996933455921
East Asia & Pacific,2003,21.4061502870549
East Asia & Pacific,2002,21.8648138729261
East Asia & Pacific,2001,22.2506979536828
East Asia & Pacific,2000,22.1098778470477
East Asia & Pacific,1999,22.1495721521441
East Asia & Pacific,1998,22.3874473982832
East Asia & Pacific,1997,23.0030737652568
East Asia & Pacific,1996,24.9542258405243
East Asia & Pacific,1995,25.676770284753
East Asia & Pacific,1994,26.4228856676079
East Asia & Pacific,1993,29.8499542873593
East Asia & Pacific,1992,30.6942334336431
East Asia & Pacific,1991,33.9859113930733
East Asia & Pacific,1990,35.7546202607548
East Asia & Pacific,1989,33.9666352871492
East Asia & Pacific,1988,33.6914472204664
East Asia & Pacific,1987,35.0071461010014
East Asia & Pacific,1986,34.8225734348287
East Asia & Pacific,1985,35.2929815619428
East Asia & Pacific,1984,35.8244904486541
East Asia & Pacific,1983,35.0342880951694
East Asia & Pacific,1982,34.55370183133
East Asia & Pacific,1981,29.8194359507949
East Asia & Pacific,1980,28.2817603264921
East Asia & Pacific,1979,29.0512110535604
East Asia & Pacific,1978,31.890676985294
East Asia & Pacific,1977,35.2849259915548
East Asia & Pacific,1976,37.2233568446937
East Asia & Pacific,1975,37.6216515881693
East Asia & Pacific,1974,39.5980446112472
East Asia & Pacific,1973,40.7732483788145
East Asia & Pacific,1972,43.0491797971874
East Asia & Pacific,1971,46.9851936840634
East Asia & Pacific,1970,49.172188735204
East Asia & Pacific,1969,50.1655549109404
East Asia & Pacific,1968,51.6926242848403
East Asia & Pacific,1967,48.0027192530437
East Asia & Pacific,1966,54.52804845211
East Asia & Pacific,1965,60.0983897650487
East Asia & Pacific,1964,66.3201535368018
East Asia & Pacific,1963,75.2923420645268
East Asia & Pacific,1962,65.6826754796873
East Asia & Pacific,1961,52.7077449578457
East Asia & Pacific,1960,56.7808251089889
East Asia & Pacific (excluding high income),2022,
East Asia & Pacific (excluding high income),2021,21.6777254129971
East Asia & Pacific (excluding high income),2020,22.2555786111538
East Asia & Pacific (excluding high income),2019,23.0389236600972
East Asia & Pacific (excluding high income),2018,23.4188245862881
East Asia & Pacific (excluding high income),2017,24.5410759277149
East Asia & Pacific (excluding high income),2016,25.0003342126867
East Asia & Pacific (excluding high income),2015,25.6877189033639
East Asia & Pacific (excluding high income),2014,26.7932543139512
East Asia & Pacific (excluding high income),2013,27.0566021099879
East Asia & Pacific (excluding high income),2012,27.2152905030766
East Asia & Pacific (excluding high income),2011,26.5740113939353
East Asia & Pacific (excluding high income),2010,26.5504361029114
East Asia & Pacific (excluding high income),2009,25.8015997911615
East Asia & Pacific (excluding high income),2008,24.715660867224
East Asia & Pacific (excluding high income),2007,23.6335448147934
East Asia & Pacific (excluding high income),2006,22.7592075649583
East Asia & Pacific (excluding high income),2005,22.409599105996
East Asia & Pacific (excluding high income),2004,22.0231885069239
East Asia & Pacific (excluding high income),2003,22.606336691918
East Asia & Pacific (excluding high income),2002,23.1242012875722
East Asia & Pacific (excluding high income),2001,23.6036664781799
East Asia & Pacific (excluding high income),2000,23.53106818665
East Asia & Pacific (excluding high income),1999,23.6558298070969
East Asia & Pacific (excluding high income),1998,23.9665178301657
East Asia & Pacific (excluding high income),1997,24.7130355323262
East Asia & Pacific (excluding high income),1996,26.939214227251
East Asia & Pacific (excluding high income),1995,27.7866792318444
East Asia & Pacific (excluding high income),1994,28.6380276084512
East Asia & Pacific (excluding high income),1993,32.4620321018132
East Asia & Pacific (excluding high income),1992,33.3609204575035
East Asia & Pacific (excluding high income),1991,36.9890909992388
East Asia & Pacific (excluding high income),1990,38.8876683744349
East Asia & Pacific (excluding high income),1989,36.8220953526037
East Asia & Pacific (excluding high income),1988,36.4204818266475
East Asia & Pacific (excluding high income),1987,37.7864703916869
East Asia & Pacific (excluding high income),1986,37.4720627658592
East Asia & Pacific (excluding high income),1985,37.8661744358816
East Asia & Pacific (excluding high income),1984,38.3359592652672
East Asia & Pacific (excluding high income),1983,37.3515330580443
East Asia & Pacific (excluding high income),1982,36.7435979180663
East Asia & Pacific (excluding high income),1981,31.6088467792869
East Asia & Pacific (excluding high income),1980,30.0965854374486
East Asia & Pacific (excluding high income),1979,31.0209676690332
East Asia & Pacific (excluding high income),1978,34.3044633792851
East Asia & Pacific (excluding high income),1977,38.1673858531347
East Asia & Pacific (excluding high income),1976,40.3139402548229
East Asia & Pacific (excluding high income),1975,40.5807324286638
East Asia & Pacific (excluding high income),1974,42.6714858817779
East Asia & Pacific (excluding high income),1973,43.9272724498016
East Asia & Pacific (excluding high income),1972,46.5137421298403
East Asia & Pacific (excluding high income),1971,51.0761795476026
East Asia & Pacific (excluding high income),1970,53.720623439694
East Asia & Pacific (excluding high income),1969,55.2012451675605
East Asia & Pacific (excluding high income),1968,57.4451289433935
East Asia & Pacific (excluding high income),1967,53.5886721424011
East Asia & Pacific (excluding high income),1966,61.8132296436833
East Asia & Pacific (excluding high income),1965,68.6528106994884
East Asia & Pacific (excluding high income),1964,76.0718712739233
East Asia & Pacific (excluding high income),1963,86.4724378444023
East Asia & Pacific (excluding high income),1962,74.853658703618
East Asia & Pacific (excluding high income),1961,59.4716662237254
East Asia & Pacific (excluding high income),1960,64.4946161194831
East Asia & Pacific (IDA & IBRD countries),2022,
East Asia & Pacific (IDA & IBRD countries),2021,21.9370731286985
East Asia & Pacific (IDA & IBRD countries),2020,22.5294685249315
East Asia & Pacific (IDA & IBRD countries),2019,23.3271511328252
East Asia & Pacific (IDA & IBRD countries),2018,23.7193580758416
East Asia & Pacific (IDA & IBRD countries),2017,24.8608033168245
East Asia & Pacific (IDA & IBRD countries),2016,25.3305010488539
East Asia & Pacific (IDA & IBRD countries),2015,26.0306284968607
East Asia & Pacific (IDA & IBRD countries),2014,27.1549718358341
East Asia & Pacific (IDA & IBRD countries),2013,27.4213012402949
East Asia & Pacific (IDA & IBRD countries),2012,27.5809425914691
East Asia & Pacific (IDA & IBRD countries),2011,26.9253383051968
East Asia & Pacific (IDA & IBRD countries),2010,26.8890105525684
East Asia & Pacific (IDA & IBRD countries),2009,26.1114006122689
East Asia & Pacific (IDA & IBRD countries),2008,24.9967116332769
East Asia & Pacific (IDA & IBRD countries),2007,23.8917279076744
East Asia & Pacific (IDA & IBRD countries),2006,22.9989625198452
East Asia & Pacific (IDA & IBRD countries),2005,22.6396198144144
East Asia & Pacific (IDA & IBRD countries),2004,22.2473075215183
East Asia & Pacific (IDA & IBRD countries),2003,22.8336669478615
East Asia & Pacific (IDA & IBRD countries),2002,23.3578411745923
East Asia & Pacific (IDA & IBRD countries),2001,23.8422464424424
East Asia & Pacific (IDA & IBRD countries),2000,23.7687370403019
East Asia & Pacific (IDA & IBRD countries),1999,23.8937650874232
East Asia & Pacific (IDA & IBRD countries),1998,24.2082649384506
East Asia & Pacific (IDA & IBRD countries),1997,24.9627068478615
East Asia & Pacific (IDA & IBRD countries),1996,27.2148898298356
East Asia & Pacific (IDA & IBRD countries),1995,28.0701953614545
East Asia & Pacific (IDA & IBRD countries),1994,28.9308260733113
East Asia & Pacific (IDA & IBRD countries),1993,32.7994050634517
East Asia & Pacific (IDA & IBRD countries),1992,33.707003474529
East Asia & Pacific (IDA & IBRD countries),1991,37.3849623232958
East Asia & Pacific (IDA & IBRD countries),1990,39.3074827912249
East Asia & Pacific (IDA & IBRD countries),1989,37.2135840359279
East Asia & Pacific (IDA & IBRD countries),1988,36.804460332654
East Asia & Pacific (IDA & IBRD countries),1987,38.1844751206878
East Asia & Pacific (IDA & IBRD countries),1986,37.8503399034678
East Asia & Pacific (IDA & IBRD countries),1985,38.2405487200185
East Asia & Pacific (IDA & IBRD countries),1984,38.7042355702926
East Asia & Pacific (IDA & IBRD countries),1983,37.6897422279409
East Asia & Pacific (IDA & IBRD countries),1982,37.0498383714658
East Asia & Pacific (IDA & IBRD countries),1981,31.8395474807712
East Asia & Pacific (IDA & IBRD countries),1980,30.3085927944733
East Asia & Pacific (IDA & IBRD countries),1979,31.2460535356004
East Asia & Pacific (IDA & IBRD countries),1978,34.5828031356881
East Asia & Pacific (IDA & IBRD countries),1977,38.5042202705779
East Asia & Pacific (IDA & IBRD countries),1976,40.6728407213567
East Asia & Pacific (IDA & IBRD countries),1975,40.9080224771777
East Asia & Pacific (IDA & IBRD countries),1974,42.9966357903273
East Asia & Pacific (IDA & IBRD countries),1973,44.2298848623288
East Asia & Pacific (IDA & IBRD countries),1972,46.7873599596981
East Asia & Pacific (IDA & IBRD countries),1971,51.3720432820078
East Asia & Pacific (IDA & IBRD countries),1970,53.9987495651262
East Asia & Pacific (IDA & IBRD countries),1969,55.4526439095529
East Asia & Pacific (IDA & IBRD countries),1968,57.7054649205966
East Asia & Pacific (IDA & IBRD countries),1967,53.8132666678074
East Asia & Pacific (IDA & IBRD countries),1966,62.2306639434692
East Asia & Pacific (IDA & IBRD countries),1965,69.2449677746016
East Asia & Pacific (IDA & IBRD countries),1964,76.8228621718626
East Asia & Pacific (IDA & IBRD countries),1963,87.4383940292419
East Asia & Pacific (IDA & IBRD countries),1962,75.6390784110216
East Asia & Pacific (IDA & IBRD countries),1961,59.956461511322
East Asia & Pacific (IDA & IBRD countries),1960,65.0085234953689
Euro area,2022,
Euro area,2021,7.08283587967018
Euro area,2020,6.96499435786568
Euro area,2019,7.0635289154579
Euro area,2018,6.94731850808926
Euro area,2017,7.13649044287976
Euro area,2016,7.61300062192179
Euro area,2015,7.6517670665919
Euro area,2014,8.01550418176061
Euro area,2013,8.28125253421402
Euro area,2012,8.9316960975489
Euro area,2011,9.40969519005276
Euro area,2010,10.0009463215192
Euro area,2009,10.4083422484688
Euro area,2008,10.910802879318
Euro area,2007,10.8382692027602
Euro area,2006,10.8295383721834
Euro area,2005,10.9430383778874
Euro area,2004,11.173587762332
Euro area,2003,11.3883376339127
Euro area,2002,11.7019759957434
Euro area,2001,12.0708572877646
Euro area,2000,12.0292205189645
Euro area,1999,11.3675550381409
Euro area,1998,10.9318881194033
Euro area,1997,10.9403861496749
Euro area,1996,11.2085530586164
Euro area,1995,11.4275147762405
Euro area,1994,12.1859485188802
Euro area,1993,13.4038717724262
Euro area,1992,14.4575530099837
Euro area,1991,15.3700590353483
Euro area,1990,15.8135985572011
Euro area,1989,15.672590459007
Euro area,1988,16.4385985657565
Euro area,1987,16.7024716796736
Euro area,1986,17.4711952922759
Euro area,1985,18.5280359611877
Euro area,1984,19.9205594945178
Euro area,1983,21.1471662199436
Euro area,1982,22.6624184597419
Euro area,1981,23.9284142580995
Euro area,1980,25.5350401690829
Euro area,1979,26.1967458847614
Euro area,1978,27.3056461592568
Euro area,1977,28.4837581244093
Euro area,1976,29.7896099316263
Euro area,1975,30.725815298227
Euro area,1974,32.0043490020657
Euro area,1973,32.2955681992924
Euro area,1972,33.6542460911742
Euro area,1971,34.2997687141705
Euro area,1970,33.9638914631846
Euro area,1969,33.8206647124654
Euro area,1968,33.3233463295776
Euro area,1967,32.5078905811714
Euro area,1966,31.7109492483361
Euro area,1965,29.5958212270431
Euro area,1964,28.0054713256637
Euro area,1963,27.9034052658629
Euro area,1962,27.8723400021779
Euro area,1961,28.2228994135141
Euro area,1960,27.9550570278862
Europe & Central Asia,2022,
Europe & Central Asia,2021,13.555596236449
Europe & Central Asia,2020,13.6843942643694
Europe & Central Asia,2019,14.2102454045902
Europe & Central Asia,2018,14.864473866377
Europe & Central Asia,2017,15.9502151926501
Europe & Central Asia,2016,17.7735721510819
Europe & Central Asia,2015,19.0337573389541
Europe & Central Asia,2014,20.2323608950888
Europe & Central Asia,2013,20.7771719342289
Europe & Central Asia,2012,21.6371354155026
Europe & Central Asia,2011,22.148209399415
Europe & Central Asia,2010,22.6149876299411
Europe & Central Asia,2009,23.7146418678828
Europe & Central Asia,2008,23.5753071666218
Europe & Central Asia,2007,23.058224701389
Europe & Central Asia,2006,23.0292895366174
Europe & Central Asia,2005,22.8841769314738
Europe & Central Asia,2004,22.8174256860857
Europe & Central Asia,2003,22.8789704613682
Europe & Central Asia,2002,23.4016910845376
Europe & Central Asia,2001,24.3625380837216
Europe & Central Asia,2000,25.0843057807187
Europe & Central Asia,1999,26.1328808464988
