,Country A,Country B,Starting Year A,Starting Year B,Pattern Length,Number of Indexes,Average Correlation,Sources,Pattern Power Ranking
77,Argentina,Brazil,1990,1990,24,2,98.76%,1,3.592572285714286
78,Bahamas,Barbados,2007,2007,15,5,97.94%,1,3.5876244
79,39,156,1993,1998,21,3,93.01%,1,3.558064
80,Argentina,Brazil,1990,1990,23,2,98.68%,1,3.4920897142857146
81,Bhutan,Estonia,2006,2006,17,4,98.06%,1,3.488351
82,Bahamas,Trinidad and Tobago,2007,2007,14,5,97.72%,1,3.4862960000000003
83,Argentina,Brazil,1990,1990,22,2,98.54%,1,3.3912688571428573
84,Bhutan,Estonia,2006,2006,16,4,98.2%,1,3.389194
85,Bahamas,Trinidad and Tobago,2007,2007,13,5,97.63%,1,3.3858016
86,Armenia,Brazil,1994,1994,21,2,99.42%,1,3.2965272
87,Bhutan,Estonia,2006,2006,15,4,98.31%,1,3.2898840000000003
88,37,204,2008,2009,12,5,96.81%,1,3.2808672000000003
89,Argentina,Uruguay,2000,2000,18,3,93.45%,1,3.260714
90,Argentina,Brazil,1990,1990,20,2,98.45%,1,3.1907277142857144
91,Bhutan,Costa Rica,2006,2007,14,4,98.36%,1,3.1901495
92,37,86,2007,2007,17,3,98.22%,1,3.189302
93,43,42,2012,2012,11,5,96.65%,1,3.179876
94,Argentina,Peru,1990,1991,19,2,98.94%,1,3.093655
95,37,86,2007,2008,16,3,98.1%,1,3.0885860000000003
96,Bhutan,Costa Rica,2006,2007,13,4,97.99%,1,3.0879235
97,43,42,2012,2012,10,5,96.66%,1,3.0799684000000003
98,37,81,2007,2006,15,3,98.35%,1,2.990102
99,Barbados,Bahamas,2007,2007,12,4,97.64%,1,2.9858670000000003
100,Bosnia and Herzegovina,Nicaragua,1994,2003,18,2,97.54%,1,2.9852345853658537
101,43,42,2012,2012,9,5,96.53%,1,2.9791944
102,Bangladesh,Zimbabwe,2009,2009,6,6,95.4%,2,2.972376
103,Bhutan,Tajikistan,2006,2006,17,2,98.95%,1,2.893676
104,Bahamas,Estonia,2007,2008,14,3,98.26%,1,2.88956
105,Bangladesh,Mexico,2010,2010,5,6,97.84%,3,2.887066
106,Bahamas,Belize,2007,2007,11,4,97.74%,1,2.88641
107,43,42,2012,2012,8,5,95.28%,1,2.87165
108,Bhutan,Cabo Verde,2006,2011,13,3,98.88%,1,2.79331
109,Bhutan,Tajikistan,2006,2006,16,2,98.88%,1,2.793283
110,Bahamas,Dominican Republic,2007,2012,10,4,97.34%,1,2.784052
111,39,167,2009,2009,7,5,96.28%,1,2.7776644
112,37,138,2007,2007,15,2,98.86%,1,2.6931540000000003
113,Belize,Bahamas,2007,2007,12,3,98.77%,1,2.692594
114,42,248,2009,2010,9,4,97.47%,1,2.6848155
115,42,248,2009,2010,6,5,95.64%,1,2.6738616
116,33,192,2007,2007,14,2,99.06%,1,2.594381
117,Azerbaijan,Uzbekistan,2009,2016,5,5,99.04%,1,2.5942256
118,Bahamas,Bhutan,2007,2012,11,3,98.15%,1,2.5889
119,42,248,2009,2010,8,4,97.51%,1,2.5850435
120,Antigua and Barbuda,Moldova,2007,2010,13,2,99.15%,1,2.494906
121,Antigua and Barbuda,Moldova,2007,2009,10,3,97.52%,1,2.485102
122,Bahrain,Saudi Arabia,2016,2016,7,4,97.09%,1,2.482537
123,Algeria,Ukraine,2009,2007,6,4,99.15%,1,2.3949105
124,43,120,2000,2010,9,3,98.2%,1,2.389198
125,Bolivia,Bhutan,2008,2009,12,2,98.07%,1,2.3884230000000004
126,Armenia,Azerbaijan,1994,1995,11,2,99.86%,1,2.299158909090909
127,42,122,2011,2018,5,4,98.88%,1,2.293262
128,Algeria,Tunisia,2009,2009,8,3,97.96%,2,2.287742
129,Bahrain,Kenya,1990,2002,10,2,99.04%,2,2.1942236363636365
130,Algeria,Senegal,2014,2016,7,3,98.67%,1,2.192012
131,Algeria,Slovakia,2009,2009,6,3,99.04%,1,2.094254
132,43,50,2012,2012,9,2,98.79%,1,2.092764
133,42,199,2011,2018,5,3,99.27%,1,1.995642
134,Algeria,Iraq,2013,2015,8,2,98.95%,1,1.993682
135,38,123,2014,2013,7,2,99.24%,1,1.895413
136,Benin,Chile,2015,2015,6,2,99.95%,1,1.7997150000000002
137,Angola,Bhutan,2010,2017,5,2,100.0%,1,1.7000000000000002
