Country,Year,Fixed telephone subscriptions (per 100 people)
Africa Western and Central,1993,0.368176209812486
Africa Western and Central,1992,0.350685263642796
Africa Western and Central,1991,0.326362144177382
Africa Western and Central,1990,0.319144879710241
Africa Western and Central,1989,0.29440489909695
Africa Western and Central,1988,0.283129969637817
Africa Western and Central,1987,0.277338087636034
Africa Western and Central,1986,0.26981765269629
Africa Western and Central,1985,0.260687980873497
Africa Western and Central,1984,0.255090338789755
Africa Western and Central,1983,0.24747002260334
Africa Western and Central,1982,0.226620961997935
Africa Western and Central,1981,0.231021098132839
Africa Western and Central,1980,
Africa Western and Central,1979,
Africa Western and Central,1978,
Africa Western and Central,1977,
Africa Western and Central,1976,
Africa Western and Central,1975,
Africa Western and Central,1974,0.0989955654614608
Africa Western and Central,1973,0.0986435134688902
Africa Western and Central,1972,0.0982270142513586
Africa Western and Central,1971,0.0978044355292099
Africa Western and Central,1970,
Africa Western and Central,1969,0.0852375115365332
Africa Western and Central,1968,0.0850697344460691
Africa Western and Central,1967,0.0849248866901991
Africa Western and Central,1966,0.0847722833008651
Africa Western and Central,1965,
Africa Western and Central,1964,0.0615840875969119
Africa Western and Central,1963,0.0614623022162539
Africa Western and Central,1962,0.0613443745262043
Africa Western and Central,1961,0.061229388011098
Africa Western and Central,1960,0.060733011696502
Arab World,2022,9.48106494049654
Arab World,2021,8.99048256334658
Arab World,2020,8.67417578117014
Arab World,2019,8.39839954284368
Arab World,2018,8.23789171736996
Arab World,2017,8.15335997506725
Arab World,2016,7.64447069405084
Arab World,2015,7.40338028991252
Arab World,2014,7.24005846798719
Arab World,2013,8.4725388392884
Arab World,2012,9.15761335129793
Arab World,2011,9.38214705732919
Arab World,2010,9.60443782059374
Arab World,2009,9.72694146353782
Arab World,2008,10.0786012513463
Arab World,2007,9.93607541817085
Arab World,2006,9.51597778679811
Arab World,2005,9.32772333919514
Arab World,2004,9.0858284490239
Arab World,2003,8.67688891773772
Arab World,2002,8.1330948007531
Arab World,2001,7.41462243515131
Arab World,2000,6.90267371872146
Arab World,1999,6.42407109176101
Arab World,1998,5.80837862279458
Arab World,1997,5.3002688282776
Arab World,1996,4.9318588203775
Arab World,1995,4.60595876422734
Arab World,1994,4.33249773437884
Arab World,1993,4.10596175015484
Arab World,1992,3.89918023529104
Arab World,1991,3.65385254166837
Arab World,1990,3.41551036549524
Arab World,1989,3.19021572789357
Arab World,1988,3.01982060607673
Arab World,1987,2.88693010265034
Arab World,1986,2.75606458088219
Arab World,1985,2.57803336451489
Arab World,1984,2.33201784167448
Arab World,1983,2.18909665441262
Arab World,1982,2.0282658472267
Arab World,1981,1.66982715471522
Arab World,1980,
Arab World,1979,1.37680127657905
Arab World,1978,1.21944572894137
Arab World,1977,1.11470954557473
Arab World,1976,1.02905877526409
Arab World,1975,0.989114309925858
Arab World,1974,0.807701717311818
Arab World,1973,0.805438544641513
Arab World,1972,0.802601556837932
Arab World,1971,0.799584470091435
Arab World,1970,0.827909911164426
Arab World,1969,0.682512836996028
Arab World,1968,0.681111953254255
Arab World,1967,0.679674338049816
Arab World,1966,0.678223860434247
Arab World,1965,
Arab World,1964,
Arab World,1963,
Arab World,1962,
Arab World,1961,
Arab World,1960,
Caribbean small states,2022,19.0639754341506
Caribbean small states,2021,18.5558784241547
Caribbean small states,2020,17.831276654642
Caribbean small states,2019,17.559378572107
Caribbean small states,2018,17.4070120427363
Caribbean small states,2017,16.1091702948573
Caribbean small states,2016,16.9623931508221
Caribbean small states,2015,16.7602358614677
Caribbean small states,2014,16.8772395770089
Caribbean small states,2013,17.4161231920224
Caribbean small states,2012,17.4569290202377
Caribbean small states,2011,17.8564178601083
Caribbean small states,2010,17.8087347032049
Caribbean small states,2009,18.6174056856728
Caribbean small states,2008,19.0683951844055
Caribbean small states,2007,19.6858979416062
Caribbean small states,2006,19.4791840019968
Caribbean small states,2005,19.0948938693261
Caribbean small states,2004,20.8887734438522
Caribbean small states,2003,21.3739956830182
Caribbean small states,2002,20.9864051048509
Caribbean small states,2001,22.0281182346541
Caribbean small states,2000,21.5127906710895
Caribbean small states,1999,20.4853201710603
Caribbean small states,1998,19.5364477363964
Caribbean small states,1997,18.1406028269995
Caribbean small states,1996,16.2954264298686
Caribbean small states,1995,14.7358548543396
Caribbean small states,1994,13.72183212808
Caribbean small states,1993,12.646454880984
Caribbean small states,1992,11.3361838040989
Caribbean small states,1991,10.2245610118199
Caribbean small states,1990,9.3245147855404
Caribbean small states,1989,8.38960052764409
Caribbean small states,1988,8.00045415219854
Caribbean small states,1987,7.59605538372722
Caribbean small states,1986,7.10334500945895
Caribbean small states,1985,6.32525727686074
Caribbean small states,1984,5.36037455258565
Caribbean small states,1983,4.80527820241952
Caribbean small states,1982,4.30918052379855
Caribbean small states,1981,4.00994990229838
Caribbean small states,1980,4.14427280281033
Caribbean small states,1979,4.13225541392154
Caribbean small states,1978,4.19333422561599
Caribbean small states,1977,4.09881602526886
Caribbean small states,1976,3.65897056529949
Caribbean small states,1975,3.48952520124848
Caribbean small states,1974,2.8467083872836
Caribbean small states,1973,2.84538268981231
Caribbean small states,1972,2.84427540753226
Caribbean small states,1971,2.84286745365552
Caribbean small states,1970,2.84858620428131
Caribbean small states,1969,1.83509607272731
Caribbean small states,1968,1.83719787901243
Caribbean small states,1967,1.83960339115403
Caribbean small states,1966,1.84230696276276
Caribbean small states,1965,1.85926041261169
Caribbean small states,1964,
Caribbean small states,1963,
Caribbean small states,1962,
Caribbean small states,1961,
Caribbean small states,1960,
Central Europe and the Baltics,2022,14.7309281915418
Central Europe and the Baltics,2021,15.9096470602136
Central Europe and the Baltics,2020,16.9881972403206
Central Europe and the Baltics,2019,18.0165720735325
Central Europe and the Baltics,2018,19.136080666524
Central Europe and the Baltics,2017,20.7007551759577
Central Europe and the Baltics,2016,22.0077380295043
Central Europe and the Baltics,2015,23.4057696637764
Central Europe and the Baltics,2014,24.6791311952381
Central Europe and the Baltics,2013,23.6971811121698
Central Europe and the Baltics,2012,21.8852295132767
Central Europe and the Baltics,2011,23.2298903186618
Central Europe and the Baltics,2010,24.0285628042492
Central Europe and the Baltics,2009,25.4339999880654
Central Europe and the Baltics,2008,26.472696886145
Central Europe and the Baltics,2007,27.3325736846544
Central Europe and the Baltics,2006,28.4663174152833
Central Europe and the Baltics,2005,29.4679837271275
Central Europe and the Baltics,2004,30.5758936205015
Central Europe and the Baltics,2003,30.357917434776
Central Europe and the Baltics,2002,30.1141511493478
Central Europe and the Baltics,2001,30.094241834814
Central Europe and the Baltics,2000,29.6018456770651
Central Europe and the Baltics,1999,28.3284197518764
Central Europe and the Baltics,1998,26.1879611479249
Central Europe and the Baltics,1997,23.6308196657074
Central Europe and the Baltics,1996,21.2486605024512
Central Europe and the Baltics,1995,19.0399532748635
Central Europe and the Baltics,1994,17.2201784817316
Central Europe and the Baltics,1993,15.6298939734165
Central Europe and the Baltics,1992,14.5307806082198
Central Europe and the Baltics,1991,13.5214131149908
Central Europe and the Baltics,1990,12.7862009237649
Central Europe and the Baltics,1989,11.9910091494458
Central Europe and the Baltics,1988,11.4095554932672
Central Europe and the Baltics,1987,10.825129851564
Central Europe and the Baltics,1986,10.2803125750413
Central Europe and the Baltics,1985,9.86191522488712
Central Europe and the Baltics,1984,9.35667736809044
Central Europe and the Baltics,1983,8.96285141423245
Central Europe and the Baltics,1982,8.47515212337273
Central Europe and the Baltics,1981,8.26054577539735
Central Europe and the Baltics,1980,7.72835386766536
Central Europe and the Baltics,1979,7.28497886547697
Central Europe and the Baltics,1978,6.17813297568707
Central Europe and the Baltics,1977,5.75952300500976
Central Europe and the Baltics,1976,5.31748604158985
Central Europe and the Baltics,1975,4.84172881444824
Central Europe and the Baltics,1974,3.23170812493526
Central Europe and the Baltics,1973,3.23232701102897
Central Europe and the Baltics,1972,3.23311695064677
Central Europe and the Baltics,1971,3.23410950215803
Central Europe and the Baltics,1970,3.2657968285235
Central Europe and the Baltics,1969,2.37517359604066
Central Europe and the Baltics,1968,2.37668071134515
Central Europe and the Baltics,1967,2.37816550894276
Central Europe and the Baltics,1966,2.37942175883098
Central Europe and the Baltics,1965,2.39297638662963
Central Europe and the Baltics,1964,
Central Europe and the Baltics,1963,
Central Europe and the Baltics,1962,
Central Europe and the Baltics,1961,
Central Europe and the Baltics,1960,
Early-demographic dividend,2022,5.16863950680335
Early-demographic dividend,2021,5.15010694663776
Early-demographic dividend,2020,5.1231451164894
Early-demographic dividend,2019,5.08319554041218
Early-demographic dividend,2018,5.32221543065029
Early-demographic dividend,2017,5.34227331833842
Early-demographic dividend,2016,5.45543675949231
Early-demographic dividend,2015,5.43402343518397
Early-demographic dividend,2014,5.96205651025896
Early-demographic dividend,2013,6.48086668821984
Early-demographic dividend,2012,6.98800716791787
Early-demographic dividend,2011,7.12894782913244
Early-demographic dividend,2010,7.35045427555175
Early-demographic dividend,2009,7.32321768944093
Early-demographic dividend,2008,7.29438361305505
Early-demographic dividend,2007,6.94068693543872
Early-demographic dividend,2006,6.81787531783221
Early-demographic dividend,2005,7.00448850668372
Early-demographic dividend,2004,6.48565466824998
Early-demographic dividend,2003,6.07984982746774
Early-demographic dividend,2002,5.85306130759468
Early-demographic dividend,2001,5.59835247361885
Early-demographic dividend,2000,5.17386433556468
Early-demographic dividend,1999,4.7688232447648
Early-demographic dividend,1998,4.34553426928508
Early-demographic dividend,1997,3.99675919580639
Early-demographic dividend,1996,3.64596166831097
Early-demographic dividend,1995,3.32639278019844
Early-demographic dividend,1994,3.01984520487131
Early-demographic dividend,1993,2.69356767778704
Early-demographic dividend,1992,2.43611263347218
Early-demographic dividend,1991,2.21591303457734
Early-demographic dividend,1990,2.03426540261229
Early-demographic dividend,1989,1.90515117902785
Early-demographic dividend,1988,1.78579010895023
Early-demographic dividend,1987,1.65087974632809
Early-demographic dividend,1986,1.54852059067335
Early-demographic dividend,1985,1.44613536941983
Early-demographic dividend,1984,1.36179134550861
Early-demographic dividend,1983,1.28710573853556
Early-demographic dividend,1982,1.23575702964908
Early-demographic dividend,1981,1.18829792377565
Early-demographic dividend,1980,1.10009132547701
Early-demographic dividend,1979,1.02136469550469
Early-demographic dividend,1978,0.966056298853448
Early-demographic dividend,1977,0.910778077689052
Early-demographic dividend,1976,0.864544855771086
Early-demographic dividend,1975,0.813078626770525
Early-demographic dividend,1974,0.593096975042809
Early-demographic dividend,1973,0.592415326797306
Early-demographic dividend,1972,0.591645840047535
Early-demographic dividend,1971,0.590930969526786
Early-demographic dividend,1970,0.585416313272721
Early-demographic dividend,1969,0.488239193413644
Early-demographic dividend,1968,0.488191753716895
Early-demographic dividend,1967,0.488135733343555
Early-demographic dividend,1966,0.488018395806224
Early-demographic dividend,1965,0.473443046268386
Early-demographic dividend,1964,0.404734405512167
Early-demographic dividend,1963,0.404337130575286
Early-demographic dividend,1962,0.403851019024096
Early-demographic dividend,1961,0.403285952371649
Early-demographic dividend,1960,0.402379276260949
East Asia & Pacific,2022,13.5693993826895
East Asia & Pacific,2021,13.6438049208038
East Asia & Pacific,2020,13.7482036541806
East Asia & Pacific,2019,14.3291869483829
East Asia & Pacific,2018,14.7929614675953
East Asia & Pacific,2017,15.1505774554866
East Asia & Pacific,2016,15.6060675646638
East Asia & Pacific,2015,16.8423554990073
East Asia & Pacific,2014,18.5041566829149
East Asia & Pacific,2013,19.8533764264921
East Asia & Pacific,2012,20.9625222304723
East Asia & Pacific,2011,21.534019078099
East Asia & Pacific,2010,22.3896898487013
East Asia & Pacific,2009,23.2882745485704
East Asia & Pacific,2008,23.2814626393683
East Asia & Pacific,2007,24.0164624288157
East Asia & Pacific,2006,24.1425832736253
East Asia & Pacific,2005,24.147712054265
East Asia & Pacific,2004,21.9378385212906
East Asia & Pacific,2003,19.48031967517
East Asia & Pacific,2002,17.299095872333
East Asia & Pacific,2001,15.7026429018701
East Asia & Pacific,2000,14.0177539229972
East Asia & Pacific,1999,12.2159429492543
East Asia & Pacific,1998,10.883195658474
East Asia & Pacific,1997,10.1668259488376
East Asia & Pacific,1996,9.16822626121347
East Asia & Pacific,1995,8.17361852098832
East Asia & Pacific,1994,7.24283699072456
East Asia & Pacific,1993,6.48562101277443
East Asia & Pacific,1992,6.00165737387148
East Asia & Pacific,1991,5.67753448576111
East Asia & Pacific,1990,5.40867722034853
East Asia & Pacific,1989,5.14253027931693
East Asia & Pacific,1988,4.88928442391374
East Asia & Pacific,1987,4.64542037155724
East Asia & Pacific,1986,4.49112057848075
East Asia & Pacific,1985,4.324927973953
East Asia & Pacific,1984,4.169930093077
East Asia & Pacific,1983,4.04019305758173
East Asia & Pacific,1982,3.91723139761066
East Asia & Pacific,1981,3.99587294058104
East Asia & Pacific,1980,3.908802110809
East Asia & Pacific,1979,3.67587155288197
East Asia & Pacific,1978,3.53016468968585
East Asia & Pacific,1977,3.3930740098583
East Asia & Pacific,1976,3.26923572448638
East Asia & Pacific,1975,3.10519809486205
East Asia & Pacific,1974,
East Asia & Pacific,1973,
East Asia & Pacific,1972,
East Asia & Pacific,1971,
East Asia & Pacific,1970,
East Asia & Pacific,1969,
East Asia & Pacific,1968,
East Asia & Pacific,1967,
East Asia & Pacific,1966,
East Asia & Pacific,1965,
East Asia & Pacific,1964,
East Asia & Pacific,1963,
East Asia & Pacific,1962,
East Asia & Pacific,1961,
East Asia & Pacific,1960,
East Asia & Pacific (excluding high income),2022,9.96594189684718
East Asia & Pacific (excluding high income),2021,10.0181338761395
East Asia & Pacific (excluding high income),2020,10.1254402540825
East Asia & Pacific (excluding high income),2019,10.6227775408003
East Asia & Pacific (excluding high income),2018,10.8441881266264
East Asia & Pacific (excluding high income),2017,11.1442699122264
East Asia & Pacific (excluding high income),2016,11.542227513424
East Asia & Pacific (excluding high income),2015,12.8501178502465
East Asia & Pacific (excluding high income),2014,14.6060223663555
East Asia & Pacific (excluding high income),2013,15.829476256212
East Asia & Pacific (excluding high income),2012,17.0528467462762
East Asia & Pacific (excluding high income),2011,17.6099568340944
East Asia & Pacific (excluding high income),2010,18.5455206359691
East Asia & Pacific (excluding high income),2009,19.5687220893739
East Asia & Pacific (excluding high income),2008,20.7503308511271
East Asia & Pacific (excluding high income),2007,21.446424785178
East Asia & Pacific (excluding high income),2006,21.3394174245211
East Asia & Pacific (excluding high income),2005,20.9810636050628
East Asia & Pacific (excluding high income),2004,18.5344554973599
East Asia & Pacific (excluding high income),2003,15.619229503124
East Asia & Pacific (excluding high income),2002,13.0882863811293
East Asia & Pacific (excluding high income),2001,11.2472446201654
East Asia & Pacific (excluding high income),2000,9.26938388549812
East Asia & Pacific (excluding high income),1999,7.24922878129848
East Asia & Pacific (excluding high income),1998,6.03846653799593
East Asia & Pacific (excluding high income),1997,5.02622539258107
East Asia & Pacific (excluding high income),1996,4.06199189927066
East Asia & Pacific (excluding high income),1995,3.1180073048821
East Asia & Pacific (excluding high income),1994,2.211305903771
East Asia & Pacific (excluding high income),1993,1.52578820893345
East Asia & Pacific (excluding high income),1992,1.11614161935207
East Asia & Pacific (excluding high income),1991,0.891671794537063
East Asia & Pacific (excluding high income),1990,0.758158214467949
East Asia & Pacific (excluding high income),1989,0.659018353793978
East Asia & Pacific (excluding high income),1988,0.586723011063434
East Asia & Pacific (excluding high income),1987,0.522964935383764
East Asia & Pacific (excluding high income),1986,0.488640298556966
East Asia & Pacific (excluding high income),1985,0.445561540230012
East Asia & Pacific (excluding high income),1984,0.408607508287502
East Asia & Pacific (excluding high income),1983,0.378462497760002
East Asia & Pacific (excluding high income),1982,0.327842293373147
East Asia & Pacific (excluding high income),1981,0.317641031824653
East Asia & Pacific (excluding high income),1980,0.301451973627173
East Asia & Pacific (excluding high income),1979,0.276345689564513
East Asia & Pacific (excluding high income),1978,0.259562714802887
East Asia & Pacific (excluding high income),1977,0.245969416314756
East Asia & Pacific (excluding high income),1976,0.232227679571715
East Asia & Pacific (excluding high income),1975,0.223835911084409
East Asia & Pacific (excluding high income),1974,
East Asia & Pacific (excluding high income),1973,
East Asia & Pacific (excluding high income),1972,
East Asia & Pacific (excluding high income),1971,
East Asia & Pacific (excluding high income),1970,
East Asia & Pacific (excluding high income),1969,
East Asia & Pacific (excluding high income),1968,
East Asia & Pacific (excluding high income),1967,
East Asia & Pacific (excluding high income),1966,
East Asia & Pacific (excluding high income),1965,
East Asia & Pacific (excluding high income),1964,
East Asia & Pacific (excluding high income),1963,
East Asia & Pacific (excluding high income),1962,
East Asia & Pacific (excluding high income),1961,
East Asia & Pacific (excluding high income),1960,
East Asia & Pacific (IDA & IBRD countries),2022,9.96594189684718
East Asia & Pacific (IDA & IBRD countries),2021,10.0854858886092
East Asia & Pacific (IDA & IBRD countries),2020,10.1938333808262
East Asia & Pacific (IDA & IBRD countries),2019,10.6970571603599
East Asia & Pacific (IDA & IBRD countries),2018,10.8441881266264
East Asia & Pacific (IDA & IBRD countries),2017,11.2246607764392
East Asia & Pacific (IDA & IBRD countries),2016,11.6274603617937
East Asia & Pacific (IDA & IBRD countries),2015,12.9514610650003
East Asia & Pacific (IDA & IBRD countries),2014,14.7290560281705
East Asia & Pacific (IDA & IBRD countries),2013,15.9678671612649
East Asia & Pacific (IDA & IBRD countries),2012,17.2068309516787
East Asia & Pacific (IDA & IBRD countries),2011,17.7714033387594
East Asia & Pacific (IDA & IBRD countries),2010,18.7192508921062
East Asia & Pacific (IDA & IBRD countries),2009,19.7560294570605
East Asia & Pacific (IDA & IBRD countries),2008,20.9531374530768
East Asia & Pacific (IDA & IBRD countries),2007,21.658627829399
East Asia & Pacific (IDA & IBRD countries),2006,21.5602045497599
East Asia & Pacific (IDA & IBRD countries),2005,21.2075866613102
East Asia & Pacific (IDA & IBRD countries),2004,18.7194939063523
East Asia & Pacific (IDA & IBRD countries),2003,15.7676173777248
East Asia & Pacific (IDA & IBRD countries),2002,13.2075502331348
East Asia & Pacific (IDA & IBRD countries),2001,11.3458427927612
East Asia & Pacific (IDA & IBRD countries),2000,9.36228407337505
East Asia & Pacific (IDA & IBRD countries),1999,7.31578612368775
East Asia & Pacific (IDA & IBRD countries),1998,6.08908826814031
East Asia & Pacific (IDA & IBRD countries),1997,5.06342471978005
East Asia & Pacific (IDA & IBRD countries),1996,4.0863243448276
East Asia & Pacific (IDA & IBRD countries),1995,3.12968161299655
East Asia & Pacific (IDA & IBRD countries),1994,2.21071827378438
East Asia & Pacific (IDA & IBRD countries),1993,1.51579618392157
East Asia & Pacific (IDA & IBRD countries),1992,1.10036802354609
East Asia & Pacific (IDA & IBRD countries),1991,0.872544049816099
East Asia & Pacific (IDA & IBRD countries),1990,0.736810390983131
East Asia & Pacific (IDA & IBRD countries),1989,0.635848566133255
East Asia & Pacific (IDA & IBRD countries),1988,0.562070784667082
East Asia & Pacific (IDA & IBRD countries),1987,0.4969128865878
East Asia & Pacific (IDA & IBRD countries),1986,0.461407616668694
East Asia & Pacific (IDA & IBRD countries),1985,0.417174164385915
East Asia & Pacific (IDA & IBRD countries),1984,0.379152142345036
East Asia & Pacific (IDA & IBRD countries),1983,0.348033297082429
East Asia & Pacific (IDA & IBRD countries),1982,0.32792734065027
East Asia & Pacific (IDA & IBRD countries),1981,0.317733860387741
East Asia & Pacific (IDA & IBRD countries),1980,0.301451973627173
East Asia & Pacific (IDA & IBRD countries),1979,0.276471241938247
East Asia & Pacific (IDA & IBRD countries),1978,0.259690394663278
East Asia & Pacific (IDA & IBRD countries),1977,0.246091010508374
East Asia & Pacific (IDA & IBRD countries),1976,0.232351386623032
East Asia & Pacific (IDA & IBRD countries),1975,0.223936402818434
East Asia & Pacific (IDA & IBRD countries),1974,
East Asia & Pacific (IDA & IBRD countries),1973,
East Asia & Pacific (IDA & IBRD countries),1972,
East Asia & Pacific (IDA & IBRD countries),1971,
East Asia & Pacific (IDA & IBRD countries),1970,
East Asia & Pacific (IDA & IBRD countries),1969,
East Asia & Pacific (IDA & IBRD countries),1968,
East Asia & Pacific (IDA & IBRD countries),1967,
East Asia & Pacific (IDA & IBRD countries),1966,
East Asia & Pacific (IDA & IBRD countries),1965,
East Asia & Pacific (IDA & IBRD countries),1964,
East Asia & Pacific (IDA & IBRD countries),1963,
East Asia & Pacific (IDA & IBRD countries),1962,
East Asia & Pacific (IDA & IBRD countries),1961,
East Asia & Pacific (IDA & IBRD countries),1960,
Euro area,2022,41.4678240021476
Euro area,2021,42.0222027381763
Euro area,2020,41.990659409185
Euro area,2019,42.3242830509166
Euro area,2018,44.390946030887
Euro area,2017,45.5282844719179
Euro area,2016,45.925567973732
Euro area,2015,46.093845934829
Euro area,2014,46.7721175985672
Euro area,2013,47.7228315172208
Euro area,2012,48.8111346820225
Euro area,2011,49.9244167874315
Euro area,2010,50.9811382378526
Euro area,2009,51.5990047474677
Euro area,2008,48.8678433787482
Euro area,2007,50.1402975722971
Euro area,2006,52.1192092729564
Euro area,2005,51.8817969578393
Euro area,2004,52.0525953029378
Euro area,2003,52.4886399928316
Euro area,2002,53.005784359376
Euro area,2001,52.8583904357153
Euro area,2000,52.6788684132487
Euro area,1999,51.5151225142308
Euro area,1998,50.6712692445679
Euro area,1997,49.6554421933116
Euro area,1996,48.448176357238
Euro area,1995,47.1498308046302
Euro area,1994,45.4150066641801
Euro area,1993,44.0592681453832
Euro area,1992,42.7510184621045
Euro area,1991,41.1698349194597
Euro area,1990,39.556306386717
Euro area,1989,37.4340090985107
Euro area,1988,35.7662761772501
Euro area,1987,34.3512597174353
Euro area,1986,33.1269456607557
Euro area,1985,31.7797840178567
Euro area,1984,30.6118995838145
Euro area,1983,29.2143791232495
Euro area,1982,27.7952108220592
Euro area,1981,26.296290574236
Euro area,1980,24.6126613116931
Euro area,1979,22.7612000383297
Euro area,1978,20.8883331528436
Euro area,1977,19.0473752999397
Euro area,1976,17.3372517066595
Euro area,1975,15.8676420556131
Euro area,1974,10.5926531039353
Euro area,1973,10.5971961904855
Euro area,1972,10.6013531631122
Euro area,1971,10.6046605799958
Euro area,1970,10.629506461366
Euro area,1969,7.14762007652531
Euro area,1968,7.14708194463097
Euro area,1967,7.1463437601417
Euro area,1966,7.14565033394354
Euro area,1965,7.16253802483202
Euro area,1964,5.03043351072758
Euro area,1963,5.02917368202908
Euro area,1962,5.02808858401735
Euro area,1961,5.02712681778808
Euro area,1960,5.0238540043625
Europe & Central Asia,2022,31.1104000822651
Europe & Central Asia,2021,27.6677175786871
Europe & Central Asia,2020,28.3221660135645
Europe & Central Asia,2019,28.9223921407275
Europe & Central Asia,2018,30.3364261786533
Europe & Central Asia,2017,31.2070045263491
Europe & Central Asia,2016,32.0065702476054
Europe & Central Asia,2015,32.9882861992757
Europe & Central Asia,2014,34.2094286437373
Europe & Central Asia,2013,35.0581528392473
Europe & Central Asia,2012,35.6670358355704
Europe & Central Asia,2011,36.8196147632552
Europe & Central Asia,2010,37.5527214532071
Europe & Central Asia,2009,38.1238401049663
Europe & Central Asia,2008,37.4387722283278
Europe & Central Asia,2007,37.9574882270716
Europe & Central Asia,2006,39.0176096934399
Europe & Central Asia,2005,38.3037171775196
Europe & Central Asia,2004,38.4912440177104
Europe & Central Asia,2003,38.2892574158954
Europe & Central Asia,2002,38.3274152522739
Europe & Central Asia,2001,37.9028016554455
Europe & Central Asia,2000,37.5467725866753
Europe & Central Asia,1999,36.4972354784814
Europe & Central Asia,1998,35.3909105522348
Europe & Central Asia,1997,34.2524839066879
Europe & Central Asia,1996,32.8382100316092
Europe & Central Asia,1995,31.5778762353239
Europe & Central Asia,1994,30.3210878759738
Europe & Central Asia,1993,29.2891492073202
Europe & Central Asia,1992,28.2282235119307
Europe & Central Asia,1991,27.2706838548973
Europe & Central Asia,1990,26.1222404662108
Europe & Central Asia,1989,24.8007411325061
