Year,Country,Quality of Life Rank,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index
2012.01,Romania,39,25.52,33.16,70.41,48.41,50.95,15.65,32.47,91.92,
2022.06,Azerbaijan,64,108.84,29.36,68.27,46.56,28.33,14.14,39.64,74.01,91.4
2012.01,Russia,47,-7.39,44.05,49.43,35.52,69.37,14.41,47.83,104.67,
2012.01,Saudi Arabia,26,71.02,80.41,67.52,40.74,97.4,2.77,15.75,112.5,
2019.06,Bangladesh,77,69.3,37.21,35.02,42.55,32.62,12.87,57.08,88.81,71.29
2012.01,Serbia,35,34.59,31.08,71.3,57.41,54.28,19.51,25.65,80.97,
2020.06,Bangladesh,81,66.29,27.59,36.18,43.08,33.41,14.3,59.01,85.83,72.91
2012.01,Singapore,24,87.08,91.24,79.79,58.97,101.03,17.16,66.25,70.83,
2021.06,Bangladesh,81,64.54,21.76,36.1,42.22,33.01,14.91,57.12,84.94,72.91
2012.01,Slovenia,15,121.94,57.17,64.29,82.87,78.63,13.41,24.67,35,
2022.06,Bangladesh,86,68.49,25.34,36.94,41.74,29.28,11.87,57.51,85.53,71.29
2012.01,South Africa,25,83.59,99.97,21.88,59.54,76.89,2.99,34.5,88.96,
2014.06,Belarus,47,72.85,32.75,71.01,48.02,50.34,16.65,24.83,46.37,
2012.01,Spain,20,100.93,86.18,67.04,69.92,84.48,9.87,26.45,85.62,
2012.01,Sweden,6,171.72,99.33,63.76,86.76,109.02,9.01,23,32.5,
2018.06,Belarus,38,138.72,44.27,73.82,56.19,32.03,14.94,29.09,40.69,64.33
2012.01,Switzerland,1,194.11,127.42,74.22,79.51,148.69,6.53,30.88,35.49,
2019.06,Belarus,38,137.86,42.92,75.2,58.87,33.02,14.29,30.29,43.75,64.37
2012.01,Thailand,40,24.89,33.42,60.33,92.59,52.94,16.75,38.75,101.61,
2020.06,Belarus,38,133.52,33.7,74.98,60.03,32.63,15.49,30.21,43.58,64.37
2012.01,Turkey,27,66.7,52.76,73.62,69.97,68.12,5.65,54.22,89.23,
2021.06,Belarus,60,107.15,29.87,40.42,44.79,31.58,16.24,30.25,44.79,64.37
2012.01,Ukraine,48,-14.61,27.22,44.61,40.28,51.68,16.68,33,100.24,
2022.06,Belarus,63,109.6,32.31,42.82,46.14,26.39,17.45,29.86,44.43,64.37
2012.01,United Arab Emirates,4,177.07,134.89,64.05,63.89,80.79,4.49,17,69.17,
2012.01,United Kingdom,18,110.09,89.77,53.96,76.04,109.44,7.38,44.17,64.43,
2012.01,United States,12,140.62,118.75,35.07,65.52,85.55,2.82,36.36,61.27,
2014.06,Belgium,21,128.68,82.38,56.2,77.53,101.13,5.97,25.68,54.61,
2013.01,Argentina,45,72.53,51.09,40.71,78.26,69.68,10.19,46.71,55.56,
2015.06,Belgium,23,161.2,115.19,57.38,75.53,76.71,6.46,30.85,56.11,
2013.01,Australia,12,165.8,104.18,55.56,75.56,130.71,8.12,39.09,20.89,
2016.06,Belgium,23,162.57,99.28,55.13,78.23,76.21,7.13,37.3,50.46,77.32
2013.01,Austria,10,167.39,88.57,69.56,81.45,93.07,8.82,28,28.81,
2017.06,Belgium,23,147.51,80.41,57.69,79.85,82.24,7.23,34.72,49.79,86.36
2013.01,Belgium,20,146.73,95.48,57.05,81.48,103.01,6.69,27.33,49.63,
2018.06,Belgium,22,164.58,99.28,58.5,80.93,74.39,7.19,35.71,49.4,86.01
2013.01,Bosnia And Herzegovina,46,71.6,47.34,56.74,54.54,50.63,11.7,18.83,67.63,
2019.06,Belgium,22,160.81,93.17,57.5,78.3,73.13,6.92,34.61,50.48,85.99
2013.01,Brazil,53,48.21,41.44,37.38,57.58,69.91,13.33,35.82,56.5,
2020.06,Belgium,29,149.75,80.12,54.71,74.8,73.59,6.91,36.43,53.66,86.03
2013.01,Bulgaria,52,53.71,38.01,58.53,54.63,51.37,10.14,22.17,78.86,
2021.06,Belgium,29,148.18,70.12,55.42,75.37,75.79,7.01,36.82,50.09,86.03
2013.01,Canada,5,186.03,111.04,65.02,72.79,95.47,5.08,38.76,26.52,
2022.06,Belgium,26,155.76,86.27,53.29,75.53,62.8,6.6,36.36,49.84,86.03
2014.06,Bolivia,73,-1.48,33.05,31.72,45.68,42.33,11.42,63,83.34,
2013.01,Chile,44,72.56,58.03,59.72,61.51,66.37,9.22,40.22,74.2,
2013.01,China,58,31.5,42.41,73.13,60.86,60.72,22.22,30.5,89.35,
2013.01,Colombia,56,35.05,29.44,45.84,77.31,57.25,15.46,43.57,68.26,
2013.01,Croatia,35,88.86,52.07,67.75,50.03,69.6,13.1,43.86,42,
2014.06,Bosnia And Herzegovina,49,69.39,41.68,53.87,54.42,48.97,12.41,22.56,59.02,
2013.01,Czech Republic,26,122.18,64.46,65.88,61.99,60.97,10,30.78,40.1,
2015.06,Bosnia And Herzegovina,42,102.25,64.94,55.89,52.54,36.24,11.12,22.44,55.17,
2013.01,Denmark,7,182.29,104.58,69.26,86.13,114.09,6.97,22.5,34.29,
2016.06,Bosnia And Herzegovina,34,142.52,56.2,58.57,60.93,35.13,11.23,23.55,57.27,69.18
2013.01,Ecuador,54,37.68,25.99,40.26,64.81,46.02,13.33,43,58.55,
2013.01,Egypt,64,7.59,27.41,51.33,59.08,44.12,12.33,59,89.86,
2018.06,Bosnia And Herzegovina,45,126.04,52.07,55.3,54.58,36.04,12.05,27.07,62.87,80.46
2013.01,Estonia,16,154.95,54.02,75.77,78.06,67.23,9.26,23.17,16.38,
2019.06,Bosnia And Herzegovina,48,122.56,46.52,56.43,52.35,36.19,12.65,26.8,63.53,80.48
2013.01,Finland,11,167.21,95.65,67.31,76.41,101.72,9.38,49,18.53,
2020.06,Bosnia And Herzegovina,49,123.05,41.58,56.43,53.22,36.57,12.15,25.92,61.72,80.48
2013.01,France,17,151.36,99.18,48.87,85.62,98.92,8.38,28.9,41.3,
2021.06,Bosnia And Herzegovina,47,123.85,38.94,57.01,53.24,36.95,11.02,25.89,61.04,80.48
2013.01,Georgia,55,35.74,29,80.43,68.98,53.24,33.8,20,64.83,
2022.06,Bosnia And Herzegovina,44,129.37,46.51,57.29,55.26,32.24,10.35,26.22,60.2,80.48
2013.01,Germany,2,204.84,118,76.14,73.25,87.56,5,31.89,28.43,
2013.01,Greece,50,55.51,50.31,50.24,50.4,88.06,11.56,38.51,62.69,
2013.01,Hong Kong,33,94.27,81.17,83.43,71.06,76.23,23.93,43.88,64.95,
2014.06,Brazil,62,29.72,38.37,30.35,51.15,66.24,16.59,44.84,53.13,
2013.01,Hungary,39,85.59,43.45,66.28,51.02,60.76,10.71,22.45,53.27,
2015.06,Brazil,51,43.75,56.18,29.77,50.62,46.71,16.8,45.54,59.36,
2013.01,India,43,73.7,62.71,57.88,62.68,30.24,9.96,50.64,77.48,
2016.06,Brazil,50,94.75,46.89,29.36,51.95,49.13,16.57,47.17,61.03,62.41
2013.01,Indonesia,66,-12.54,24.61,59.51,48.52,46.01,24.75,54.38,85.14,
2017.06,Brazil,52,89.6,36.54,29.55,52.44,53.06,17.04,46.21,60.13,90.22
2013.01,Iran,65,-6.96,35.75,43.85,45.66,56.97,16.33,58.28,90.23,
2018.06,Brazil,61,100.32,40.67,29.72,54.22,40.48,17.9,45.85,59.14,95.4
2013.01,Ireland,18,149.64,91.68,55.05,49,107.65,5.52,21,29.76,
2019.06,Brazil,63,103.87,36.31,30.52,55.59,42.64,16.76,42.31,56.1,94.25
2013.01,Israel,32,99.34,73.52,51.74,87.04,90.18,10.31,46.6,59.54,
2020.06,Brazil,60,105.28,30.36,31.69,56.87,30.99,16.47,41.63,54.67,94.1
2013.01,Italy,37,87.36,75.76,50.54,64.78,98.09,13,38.43,58.86,
2021.06,Brazil,62,104.7,25.13,32.51,57.79,36.06,15.96,41.39,54.4,95.41
2013.01,Japan,15,159.79,87.68,86.89,80.09,113.21,8.32,50.3,33.68,
2022.06,Brazil,67,103.98,27.28,33.21,57.89,34.81,18.48,41.11,53.72,94.92
2013.01,Lebanon,62,12.46,44.15,52.69,43.33,73.95,18.42,36.4,88.05,
2013.01,Lithuania,31,114.05,42.79,65.39,70.79,60.95,13.58,27.33,25.17,
2013.01,Malaysia,40,79.74,71.79,32.25,59.65,54.13,6.79,38.64,67.35,
2014.06,Bulgaria,52,65.62,36.24,59.01,59.64,49.65,9.49,34.32,63.63,
2013.01,Mexico,36,87.94,60.67,43.77,72.12,52.42,5.68,37.37,66.08,
2015.06,Bulgaria,43,93.68,58.73,57.97,55.32,36.13,8.55,31.81,60.95,
2013.01,Mongolia,61,14.08,28.4,53.13,43.06,61.95,13,26.67,88.97,
2016.06,Bulgaria,38,139.74,54.29,58.05,53.42,37,9.15,27.54,61.69,78.17
2013.01,Netherlands,14,160.54,94.93,62.47,66.8,98.06,6.3,38.7,28.08,
2017.06,Bulgaria,37,122.85,46.62,59.99,52.72,40.24,8.77,29.13,62.65,78.84
2013.01,New Zealand,13,163.17,85.55,58.21,76.04,110.45,5.94,26.57,21.8,
2018.06,Bulgaria,42,131.2,57.21,59.72,53.87,37.83,8.76,30.45,64.23,82.51
2013.01,Norway,8,173.86,97.29,74.39,80.51,164.92,7.3,27.08,23.35,
2019.06,Bulgaria,43,130.25,51,60.69,55.07,37.37,8.98,28.99,63.57,81.22
2013.01,Pakistan,63,7.67,26.38,38.48,47.88,32.83,17.49,16,86.96,
2020.06,Bulgaria,44,127.14,44.11,61.45,56.2,38.39,9.11,29.45,65.43,82.76
2013.01,Panama,38,86.81,37.69,51.54,82.41,50.77,10.83,31.67,48.08,
2021.06,Bulgaria,44,126.88,39.49,61.79,56.28,38.67,8.3,29.43,64.54,82.76
2013.01,Philippines,59,21.08,25.98,45.06,73.7,47.79,16.38,46.75,74.84,
2022.06,Bulgaria,45,128.96,46.9,61.63,56.82,37.58,9.59,29.01,63.84,81.22
2014.06,Cambodia,70,2.46,12.31,59.24,54.17,54.18,20.3,33.33,78.26,
2013.01,Poland,34,90.47,55.56,61.07,57.81,53.31,13,36.24,50.02,
2013.01,Portugal,28,119.76,54.59,65.04,61.63,71.77,8.06,27.88,35,
2013.01,Puerto Rico,29,117.89,95.73,29.47,58.98,81.49,3.93,32.5,54.02,
2013.01,Qatar,9,169.92,140.57,73.83,68.06,80.92,5.43,30.5,82.76,
2014.06,Canada,6,172.94,101.88,62.84,72.42,89.61,5.41,39.49,28.8,
2013.01,Romania,49,57.75,36.35,69.98,46.13,49.46,14.25,34.85,63.34,
2015.06,Canada,12,214.24,143.94,61.27,68.87,73.53,5.78,39.12,29.26,
2013.01,Russia,60,18.5,39.6,47.61,39.34,68.12,12.36,49.68,78.29,
2016.06,Canada,15,172.83,118.08,60.47,68.76,69.09,6.5,37.25,28.17,51.16
2013.01,Saudi Arabia,22,140.49,116.1,68.26,34.17,71.28,3.11,15.75,80.55,
2017.06,Canada,15,158.19,98.45,60.89,69.77,72.82,6.36,36,27.72,53.56
2013.01,Serbia,48,63.68,37.01,58.77,55.55,51.13,17.22,25.48,52.79,
2018.06,Canada,19,173.84,115.97,60.82,70.07,64.54,6.91,35.75,27.71,56.17
2013.01,Singapore,47,69.17,60.86,80.02,58.82,104.14,25.12,51.1,49.5,
2019.06,Canada,17,169.42,105.01,60.52,71.27,68.16,7.88,33.63,27.66,55.79
2013.01,Slovakia,30,114.58,54.24,64.84,59.95,62.69,7.91,41,34.4,
2020.06,Canada,21,158.88,83.22,59.36,71.77,66.18,8.18,33.84,27.97,52.69
2013.01,Slovenia,24,133.62,60.1,70.4,72.11,78.15,12.1,24.67,28.17,
2021.06,Canada,22,157.25,78.34,58.11,71.69,71.45,7.24,33.69,28.54,55.29
2013.01,South Africa,25,123.77,107.37,23.32,61.33,59.51,3.21,38.91,58.99,
2022.06,Canada,22,163.77,101.67,56.37,70.8,68.78,8.91,33.56,28.93,55.34
2013.01,South Korea,23,135.62,95.57,82.6,80.56,79.71,12.46,21.5,75.57,
2013.01,Spain,21,141.05,83.67,65.88,75.61,79.25,9.63,26.42,46.52,
2013.01,Sweden,4,191.36,108.25,68.19,78.7,110.72,8.75,27.9,18.79,
2014.06,Chile,55,61.89,51.08,55.24,60.56,57.92,10.9,40.55,72.24,
2013.01,Switzerland,1,215.71,138.2,72.42,71.98,146.98,6.25,25.87,22.97,
2015.06,Chile,35,117.23,93.76,56.54,63.19,49.21,8.89,40,67.91,
2013.01,Taiwan,27,120.57,74.17,83.74,81.25,66.76,9.02,38.33,71.48,
2016.06,Chile,36,140.67,70.01,52.01,60.32,47.86,9.98,35.68,66.81,88.93
2013.01,Thailand,51,54.08,35.44,59.47,94.73,51.3,18.33,38.57,72.12,
2017.06,Chile,41,116.43,49.57,55.39,61.84,53.31,12.38,36.1,67.16,90.1
2013.01,Turkey,42,74.84,57.26,64.8,71.87,61.67,6.19,50.47,82,
2018.06,Chile,46,124.28,54.5,54.01,64.22,48.2,13.64,36.68,65.21,90.21
2013.01,Ukraine,57,31.86,32.3,51.05,47.89,47.95,15.42,39.91,67.28,
2019.06,Chile,47,123.8,51.43,52.88,65.22,49.15,13.27,35.55,65.1,90.21
2013.01,United Arab Emirates,6,186.01,123.85,81.99,59.92,74.12,4.43,24.5,58.37,
2020.06,Chile,67,102.02,35.55,50.4,64.38,45.43,17.94,35.16,79.74,90.21
2013.01,United Kingdom,19,148.12,90.54,60.22,71.28,96.99,6.73,38.67,36.02,
2021.06,Chile,71,97.27,29.43,46.58,63.99,48.6,18.08,36.18,78.63,90.21
2013.01,United States,3,199.56,138.38,46.56,67.76,79.57,2.2,39.54,32.53,
2022.06,Chile,72,102.89,35.79,43.49,64.21,37.16,15.12,35.79,78.3,90.21
2013.01,Uruguay,41,78.34,38.14,55.03,57.18,80.65,11.54,50,30.46,
2013.01,Venezuela,67,-48.27,18.71,14.3,44.44,110.55,20.78,38.75,81.89,
2014.01,Argentina,41,81.12,57.08,42.52,76.75,66.85,8.95,45,57.45,
2014.06,China,65,21.18,40.17,72.7,61.49,52.64,28.09,32.62,86.24,
2014.01,Australia,8,175.98,104.2,58.77,73.55,108.51,7.44,36.25,19.38,
2015.06,China,47,61.79,86.93,59.68,58.87,46.83,22.95,42.35,87.89,
2014.01,Austria,10,171.82,91.53,74.17,79.67,89.5,9.17,24.5,31.68,
2016.06,China,51,94.59,68.42,68.49,62.17,45.71,25.73,44.73,88.08,48.14
2014.01,Belarus,45,74.43,33.93,67.11,48.02,50.35,16.81,24.83,42.72,
2017.06,China,51,91.29,62.21,67.51,61.56,45.78,27.4,43.43,86.82,72.54
2014.01,Belgium,21,134.71,87.93,58.47,78.04,100.04,5.98,25.96,56.16,
2018.06,China,62,99.07,74.18,51.33,63.48,40.34,27.17,42.7,83.08,78.82
2014.01,Bosnia And Herzegovina,44,74.6,44.52,55.02,54.42,49.76,11.97,22.56,58.22,
2019.06,China,67,99.87,63.93,63.3,64.18,40.54,30.29,41.64,81.24,78.91
2014.01,Brazil,56,38.76,43.29,33,53.72,60.6,14.96,43.02,57.58,
2020.06,China,63,104.96,60.44,68.82,66.62,39.51,28.4,41.44,79.88,78.17
2014.01,Bulgaria,51,62.6,37.39,59.98,58.04,49.96,9.87,34.69,66.72,
2021.06,China,64,103.16,53.62,69.86,66.16,41.31,27.89,40.56,81.17,80.21
2014.01,Canada,7,178.29,105.53,63.71,71.94,87.9,5.57,39.17,27.7,
2022.06,China,77,95.55,56.24,71.18,66.7,40.31,38.43,39.51,80.21,79.41
2014.01,Chile,47,69.32,58.27,52.91,58.68,60.16,9.45,42.1,70.98,
2014.01,China,58,30.3,43.73,69.87,65.12,54.12,26.13,31.17,84.72,
2014.01,Colombia,57,36.53,33.45,41.46,68.52,50.37,14.23,46.15,65.67,
2014.06,Colombia,58,40.15,32.64,43.27,67.92,50.14,14.26,45.88,62.42,
2014.01,Croatia,32,108.7,48.32,71.1,55.94,69.04,13.37,33.35,28.69,
2015.06,Colombia,50,54.79,50.03,40.11,70.47,35.42,16.45,44.19,63.47,
2014.01,Czech Republic,26,122.99,62.32,66.12,66.27,56.59,10.43,33.08,38.34,
2016.06,Colombia,45,118.49,40.77,49.3,67.53,32.4,18.2,44.95,64.62,81.5
2014.01,Denmark,6,178.55,100.66,70.73,85.62,114.87,6.37,25,34.76,
2017.06,Colombia,46,103.64,32.97,48.73,66.79,34.35,18.27,47.06,64.6,93.33
2014.01,Ecuador,53,42.25,27.03,40.03,59.39,45.23,12.7,42.8,53.66,
2018.06,Colombia,53,111.09,37.96,49.21,67.03,32.61,18.72,47.41,63.08,96.69
2014.01,Egypt,65,5.41,25.57,47.57,61.3,38.26,11.09,60.83,91.23,
2019.06,Colombia,59,109.94,34.55,47.46,67.63,30.25,19.51,45.28,62.57,96.69
2014.01,Estonia,16,145.4,48.67,70.93,76.34,67.33,10.19,24.71,13.43,
2020.06,Colombia,68,101.7,27.92,45.06,66.8,29.02,19.29,47.16,62.44,86.04
2014.01,Finland,5,178.88,97.9,70.84,68.69,103.28,7.83,37,16.68,
2021.06,Colombia,67,102.02,25.34,43.13,66.92,28.12,17.48,47.33,62.89,88.3
2014.01,France,20,136.31,92.29,52.72,82.28,100.21,10.32,28.1,46.92,
2022.06,Colombia,71,102.93,28.27,41.29,67.49,25.23,16.9,47.9,63.12,88.3
2014.01,Germany,3,192.69,112.28,72.86,75.26,87.14,5.6,36.07,30.2,
2021.06,Costa Rica,49,120.42,34.7,45.78,62.15,48.53,10.04,60.19,44.07,99.48
2014.01,Greece,43,77.48,44.27,56.95,59.02,83.79,11.74,36.98,45.28,
2022.06,Costa Rica,49,122.94,38.59,46.14,62.97,43.65,10,60.19,44.19,99.48
2014.01,Hong Kong,46,73.24,71.39,77.32,71.83,76.36,27.06,47.73,63.79,
2014.01,Hungary,40,83.18,44.89,62.48,46.58,59.27,9.63,34.83,48.33,
2014.01,India,42,78.01,62.33,56.3,64.62,26.7,10.16,47.72,74.34,
2014.06,Croatia,32,105.5,45.99,70.58,57.66,68.66,13.31,32.89,30.46,
2014.01,Indonesia,62,21.85,26.44,53.33,60.23,39,18.79,41.07,73.78,
2015.06,Croatia,30,138.83,71.44,70.96,59.21,49.82,11.56,32.18,31.26,
2014.01,Iran,66,-11.08,30.33,44.99,48.6,49.51,20.63,54.45,86.07,
2016.06,Croatia,22,167.51,63.93,71.28,61.81,49.39,11.72,29.42,30.69,76.69
2014.01,Ireland,17,142.35,94.64,46.41,42.57,106.61,5.74,22.53,29.32,
2017.06,Croatia,18,155.14,53.71,71.86,65.05,53.98,10.79,29.36,31.67,87.23
2014.01,Israel,35,91.16,69.29,66.72,75.43,91.45,12.83,46.38,63.75,
2018.06,Croatia,24,162.33,62.19,73.06,62.56,50.05,11.33,30.68,33.1,88.91
2014.01,Italy,36,90.61,75.39,54.41,65.05,96.81,12.15,38.05,60.42,
2019.06,Croatia,19,164.69,57.23,75.77,65.6,50.05,12.69,29.88,29.06,89.05
2014.01,Japan,12,168.47,99.64,81.9,85.03,94.13,8.34,47.64,40.78,
2020.06,Croatia,23,156.77,43.25,75.33,63.75,56.31,13.91,28.14,30.07,89.89
2014.01,Jordan,55,39.54,38.3,52.42,74.1,61.46,7.95,60.2,81.84,
2021.06,Croatia,25,155.41,39.83,75.41,63.95,55.18,13.59,28.07,30.84,89.69
2014.01,Kazakhstan,54,40.64,37.29,50.59,60.19,63.15,11.35,40,74.36,
2022.06,Croatia,24,162.74,52.79,76.01,63.75,43.74,13.16,26.74,31.41,89.89
2014.06,Cyprus,17,144.87,65.03,66.4,76.96,85.06,6.84,18.25,33.62,
2014.01,Kuwait,18,141.37,92.46,63.56,66.2,74.08,6.78,17,59.99,
2014.01,Lebanon,63,18.39,41.86,49.9,55.36,70.15,18.3,32.43,86.72,
2018.06,Cyprus,28,159.24,83.85,69.61,50.7,54.98,6.33,21.64,56.23,92.23
2014.01,Lithuania,27,121.91,43.24,65.29,69.26,59.96,12.91,22,21.13,
2019.06,Cyprus,30,152.72,67.28,70.38,52.06,58.39,8.01,21.06,54.17,90.87
2014.01,Malaysia,37,89.05,70.46,33.59,69.35,48.66,8.04,38.7,61.12,
2020.06,Cyprus,33,146.86,56.8,68.43,52.53,59.93,7.48,23.6,55.11,92.8
2014.01,Mexico,39,83.47,60.46,47.54,70.64,46.96,6.47,38.96,71.17,
2021.06,Cyprus,33,146.08,49.36,68.72,54.59,61.64,6.57,23.07,55.06,93.34
2014.01,Mongolia,67,-26.75,25.59,33.77,27.23,57.36,15.7,36.86,94.98,
2022.06,Cyprus,34,148.25,54.47,68.94,54.12,52.48,6.76,23.14,55.23,92.23
2014.01,Netherlands,14,160.98,97.54,62.93,66.17,98.82,6.08,35.06,32.4,
2014.01,New Zealand,11,168.56,87.58,57.15,77.83,104.48,5.3,26.57,21.02,
2014.01,Norway,13,168.41,94.4,66.27,75.71,144.45,7.42,24.5,22.57,
2014.06,Czech Republic,26,119.9,62.03,65.97,66.26,56.49,10.33,30.88,42.35,
2014.01,Pakistan,60,22.32,31.53,36.25,50.4,29.69,13.92,25.12,80.25,
2015.06,Czech Republic,24,161.12,98.81,67.75,67.73,42.69,9.87,32.87,42.66,
2014.01,Philippines,59,28.09,29.97,58.1,69.84,40.28,18.78,49.78,74.88,
2016.06,Czech Republic,20,167.77,82.75,68.67,74.64,41.6,10.61,31.22,42.17,66.27
2014.01,Poland,33,95.19,57.6,62.47,54.83,53.68,11.37,35.32,50.54,
2017.06,Czech Republic,20,153.71,65.78,70.83,75.48,47.67,11.43,31.35,41.42,78.1
2014.01,Portugal,23,124.71,54.65,64.94,64.8,69.3,8.41,28.91,30.9,
2018.06,Czech Republic,25,162.03,77.63,72.11,74.63,44.53,13.89,30.34,40.61,76.95
2014.01,Puerto Rico,24,123.64,85.28,40.7,59.93,76.5,5.1,28.4,47.41,
