Matching Event,Pattern
COVID-19 Pandemic Response,"{'country_b_id_fk': 73, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.9524966666666668, 'orgs': 1, 'Power': 4.271498, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Finland'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 74, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.9442, 'orgs': 1, 'Power': 4.26652, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 6, 'country_a_id_fk': 100, 'event_correlation_count': 1, 'similar_event_year_a': '1990', 'similar_raw_event': 'Environmental Legislation', 'similar_event_year_b': '1990', 'country_a_name': 'India', 'country_b_name': 'France'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 206, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.93458, 'orgs': 1, 'Power': 4.260748, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 2, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'South Africa'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 40, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.93205, 'orgs': 1, 'Power': 4.2592300000000005, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 6, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Canada'}"
COVID-19 Pandemic Response,"{'country_b_id_fk': 177, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.9209384615384616, 'orgs': 1, 'Power': 4.252563076923077, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 5, 'country_a_id_fk': 100, 'event_correlation_count': 1, 'similar_event_year_a': '1990', 'similar_raw_event': 'Environmental Legislation', 'similar_event_year_b': '1990', 'country_a_name': 'India', 'country_b_name': 'Portugal'}"
National Elections,"{'country_b_id_fk': 206, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 30, 'indexes': 2, 'avg_corr': 0.94029, 'orgs': 1, 'Power': 4.164174, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 1, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'South Africa'}"
Environmental Initiatives,"{'country_b_id_fk': 176, 'start_year_a_fk': 1990, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.9665, 'orgs': 1, 'Power': 4.0799, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Poland'}"
Environmental Initiatives,"{'country_b_id_fk': 202, 'start_year_a_fk': 1990, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.96347, 'orgs': 1, 'Power': 4.078082, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Slovakia'}"
Environmental Agreement,"{'country_b_id_fk': 106, 'start_year_a_fk': 1990, 'start_year_b_fk': 1996, 'pattern_length_fk': 26, 'indexes': 3, 'avg_corr': 0.9600771428571429, 'orgs': 1, 'Power': 4.076046285714286, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 2, 'country_a_id_fk': 100, 'event_correlation_count': 1, 'similar_event_year_a': '1990', 'similar_raw_event': 'Infrastructure Development', 'similar_event_year_b': '1996', 'country_a_name': 'India', 'country_b_name': 'Israel'}"
Infrastructure Investment,"{'country_b_id_fk': 58, 'start_year_a_fk': 1990, 'start_year_b_fk': 1991, 'pattern_length_fk': 26, 'indexes': 3, 'avg_corr': 0.9270528571428572, 'orgs': 1, 'Power': 4.0562317142857145, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Denmark'}"
General Elections,"{'country_b_id_fk': 153, 'start_year_a_fk': 1990, 'start_year_b_fk': 1997, 'pattern_length_fk': 25, 'indexes': 3, 'avg_corr': 0.9273371428571427, 'orgs': 1, 'Power': 3.9564022857142858, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 3, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Netherlands'}"
Olympic Success,"{'country_b_id_fk': 208, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.98886, 'orgs': 1, 'Power': 3.893316, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 2, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'South Korea'}"
Environmental Initiative,"{'country_b_id_fk': 216, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.975335, 'orgs': 1, 'Power': 3.885201, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Switzerland'}"
Anti-Corruption Measures,"{'country_b_id_fk': 140, 'start_year_a_fk': 1990, 'start_year_b_fk': 1992, 'pattern_length_fk': 24, 'indexes': 3, 'avg_corr': 0.9691614285714286, 'orgs': 1, 'Power': 3.8814968571428574, 'Sectors': ""['Unknown', 'Trade Sector']"", 'event_correlation_score': 2, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Mexico'}"
Environmental Initiative,"{'country_b_id_fk': 216, 'start_year_a_fk': 1990, 'start_year_b_fk': 1995, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.956905, 'orgs': 1, 'Power': 3.874143, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Switzerland'}"
Environmental Initiative,"{'country_b_id_fk': 106, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.950625, 'orgs': 1, 'Power': 3.870375, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 2, 'country_a_id_fk': 100, 'event_correlation_count': 1, 'similar_event_year_a': '1990', 'similar_raw_event': 'Educational Reforms', 'similar_event_year_b': '1990', 'country_a_name': 'India', 'country_b_name': 'Israel'}"
Environmental Initiative,"{'country_b_id_fk': 203, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.94905, 'orgs': 1, 'Power': 3.86943, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 3, 'country_a_id_fk': 100, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'India', 'country_b_name': 'Slovenia'}"
Vaccination Campaign,"{'country_b_id_fk': 44, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 32, 'indexes': 2, 'avg_corr': 0.96501, 'orgs': 1, 'Power': 4.379006, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Chile'}"
Vaccination Campaign,"{'country_b_id_fk': 10, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 32, 'indexes': 2, 'avg_corr': 0.9642314285714286, 'orgs': 1, 'Power': 4.378538857142857, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Argentina'}"
Vaccination Campaign,"{'country_b_id_fk': 106, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 32, 'indexes': 2, 'avg_corr': 0.9567757142857142, 'orgs': 1, 'Power': 4.374065428571429, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Israel'}"
Vaccination Campaign,"{'country_b_id_fk': 140, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 32, 'indexes': 2, 'avg_corr': 0.9475390476190476, 'orgs': 1, 'Power': 4.368523428571429, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Mexico'}"
COVID-19 Response,"{'country_b_id_fk': 106, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 31, 'indexes': 2, 'avg_corr': 0.9567933333333332, 'orgs': 1, 'Power': 4.274076, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Israel'}"
Presidential Election,"{'country_b_id_fk': 10, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 30, 'indexes': 2, 'avg_corr': 0.9711919047619046, 'orgs': 1, 'Power': 4.182715142857143, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Argentina'}"
Presidential Election,"{'country_b_id_fk': 44, 'start_year_a_fk': 1990, 'start_year_b_fk': 1992, 'pattern_length_fk': 30, 'indexes': 2, 'avg_corr': 0.960635, 'orgs': 1, 'Power': 4.176381, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Chile'}"
Vaccination Campaign,"{'country_b_id_fk': 176, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.94313, 'orgs': 1, 'Power': 4.0658780000000005, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Poland'}"
Vaccination Campaign,"{'country_b_id_fk': 106, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.93997, 'orgs': 1, 'Power': 4.063982, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Israel'}"
Vaccination Campaign,"{'country_b_id_fk': 98, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.939115, 'orgs': 1, 'Power': 4.063469, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Hungary'}"
Natural Disaster,"{'country_b_id_fk': 13, 'start_year_a_fk': 1993, 'start_year_b_fk': 1990, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.93876, 'orgs': 1, 'Power': 4.063256000000001, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Australia'}"
Vaccination Campaign,"{'country_b_id_fk': 140, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.935095, 'orgs': 1, 'Power': 4.061057000000001, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Mexico'}"
Vaccination Campaign,"{'country_b_id_fk': 74, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 29, 'indexes': 2, 'avg_corr': 0.910805, 'orgs': 1, 'Power': 4.046483, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'France'}"
COVID-19 Response,"{'country_b_id_fk': 208, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.97142, 'orgs': 1, 'Power': 3.982852, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'South Korea'}"
COVID-19 Response,"{'country_b_id_fk': 67, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.95922, 'orgs': 1, 'Power': 3.975532, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Estonia'}"
COVID-19 Response,"{'country_b_id_fk': 216, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.957945, 'orgs': 1, 'Power': 3.974767, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Switzerland'}"
COVID-19 Response,"{'country_b_id_fk': 208, 'start_year_a_fk': 1993, 'start_year_b_fk': 1994, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.952125, 'orgs': 1, 'Power': 3.971275, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'South Korea'}"
COVID-19 Response,"{'country_b_id_fk': 216, 'start_year_a_fk': 1993, 'start_year_b_fk': 1994, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.947305, 'orgs': 1, 'Power': 3.968383, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Switzerland'}"
COVID-19 Response,"{'country_b_id_fk': 106, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.93877, 'orgs': 1, 'Power': 3.963262, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Israel'}"
COVID-19 Response,"{'country_b_id_fk': 58, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 28, 'indexes': 2, 'avg_corr': 0.922515, 'orgs': 1, 'Power': 3.953509, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Denmark'}"
Renewable Energy Expansion,"{'country_b_id_fk': 10, 'start_year_a_fk': 1990, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.9770338095238096, 'orgs': 1, 'Power': 3.886220285714286, 'Sectors': ""['Unknown']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Argentina'}"
Presidential Election,"{'country_b_id_fk': 208, 'start_year_a_fk': 1993, 'start_year_b_fk': 1991, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.96784, 'orgs': 1, 'Power': 3.880704, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'South Korea'}"
Presidential Election,"{'country_b_id_fk': 202, 'start_year_a_fk': 1993, 'start_year_b_fk': 1993, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.964885, 'orgs': 1, 'Power': 3.878931, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Slovakia'}"
Presidential Election,"{'country_b_id_fk': 57, 'start_year_a_fk': 1993, 'start_year_b_fk': 1991, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.96276, 'orgs': 1, 'Power': 3.877656, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Czechia'}"
COVID-19 Response,"{'country_b_id_fk': 120, 'start_year_a_fk': 2006, 'start_year_b_fk': 2006, 'pattern_length_fk': 15, 'indexes': 6, 'avg_corr': 0.953835, 'orgs': 1, 'Power': 3.872301, 'Sectors': ""['Political State Sector', 'Finance Economy Sector', 'Human Rights Development', 'Social Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Latvia'}"
Presidential Election,"{'country_b_id_fk': 208, 'start_year_a_fk': 1993, 'start_year_b_fk': 1996, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.94141, 'orgs': 1, 'Power': 3.864846, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'South Korea'}"
Presidential Election,"{'country_b_id_fk': 203, 'start_year_a_fk': 1993, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.93978, 'orgs': 1, 'Power': 3.863868, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Slovenia'}"
Presidential Election,"{'country_b_id_fk': 14, 'start_year_a_fk': 1993, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.93583, 'orgs': 1, 'Power': 3.861498, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Austria'}"
Presidential Election,"{'country_b_id_fk': 44, 'start_year_a_fk': 1993, 'start_year_b_fk': 1990, 'pattern_length_fk': 27, 'indexes': 2, 'avg_corr': 0.93332, 'orgs': 1, 'Power': 3.859992, 'Sectors': ""['Trade Sector']"", 'event_correlation_score': 0, 'country_a_id_fk': 101, 'event_correlation_count': 0, 'similar_event_year_a': nan, 'similar_raw_event': nan, 'similar_event_year_b': nan, 'country_a_name': 'Indonesia', 'country_b_name': 'Chile'}"
