Country,Year,Merchandise exports (current US$)
Africa Western and Central,1982,22427000000.0
Africa Western and Central,1981,28572000000.0
Africa Western and Central,1980,38234000000.0
Africa Western and Central,1979,27317000000.0
Africa Western and Central,1978,18098000000.0
Africa Western and Central,1977,19798000000.0
Africa Western and Central,1976,16934000000.0
Africa Western and Central,1975,13229000000.0
Africa Western and Central,1974,14402000000.0
Africa Western and Central,1973,6988000000.0
Africa Western and Central,1972,4730000000.0
Africa Western and Central,1971,4060000000.0
Africa Western and Central,1970,3459000000.0
Africa Western and Central,1969,2902000000.0
Africa Western and Central,1968,2497000000.0
Africa Western and Central,1967,2313000000.0
Africa Western and Central,1966,2375000000.0
Africa Western and Central,1965,2301000000.0
Africa Western and Central,1964,2124000000.0
Africa Western and Central,1963,1821000000.0
Africa Western and Central,1962,1620000000.0
Africa Western and Central,1961,1646000000.0
Africa Western and Central,1960,1585000000.0
Arab World,2022,1657612045107.76
Arab World,2021,1209962165761.56
Arab World,2020,826504524583.292
Arab World,2019,1101304385103.03
Arab World,2018,1162555318892.86
Arab World,2017,915355383055.721
Arab World,2016,793298772599.782
Arab World,2015,868265430896.693
Arab World,2014,1254082734264.42
Arab World,2013,1384813835982.06
Arab World,2012,1401479890349.47
Arab World,2011,1243535956854.1
Arab World,2010,927788486253.702
Arab World,2009,740855706642.495
Arab World,2008,1082862316397.52
Arab World,2007,792872569271.895
Arab World,2006,677951103940.463
Arab World,2005,558740528883.449
Arab World,2004,403934454712.678
Arab World,2003,300838376775.229
Arab World,2002,245977484409.623
Arab World,2001,236219935279.412
Arab World,2000,263246240424.242
Arab World,1999,178779760656.571
Arab World,1998,142679837368.868
Arab World,1997,188046925251.872
Arab World,1996,180194755705.155
Arab World,1995,149872143880.88
Arab World,1994,131815162417.51
Arab World,1993,127278353346.074
Arab World,1992,134000331950.37
Arab World,1991,127509004558.812
Arab World,1990,142458211638.367
Arab World,1989,116488890746.696
Arab World,1988,92536263719.4506
Arab World,1987,91506355913.0038
Arab World,1986,79308918084.5597
Arab World,1985,113154476475.581
Arab World,1984,122456740168.473
Arab World,1983,129621970233.772
Arab World,1982,169923756918.76
Arab World,1981,227031994361.53
Arab World,1980,238657818314.925
Arab World,1979,160160190800.39
Arab World,1978,100470665437.666
Arab World,1977,102080209770.039
Arab World,1976,93041690724.7565
Arab World,1975,76891091676.2412
Arab World,1974,84118497285.8438
Arab World,1973,28288869826.7351
Arab World,1972,18899359805.5461
Arab World,1971,15533857762.2789
Arab World,1970,11949738482.5898
Arab World,1969,10917825013.4236
Arab World,1968,9923016304.56747
Arab World,1967,8334531430.74889
Arab World,1966,7959472502.20839
Arab World,1965,7258493381.75436
Arab World,1964,6820256077.55062
Arab World,1963,6137327921.57179
Arab World,1962,4872757576.94728
Arab World,1961,4611018592.05672
Arab World,1960,4671188473.64075
Caribbean small states,2022,31130000000.0
Caribbean small states,2021,18378000000.0
Caribbean small states,2020,12843000000.0
Caribbean small states,2019,14399000000.0
Caribbean small states,2018,17780000000.0
Caribbean small states,2017,15275000000.0
Caribbean small states,2016,13483000000.0
Caribbean small states,2015,16766000000.0
Caribbean small states,2014,21597000000.0
Caribbean small states,2013,26546000000.0
Caribbean small states,2012,21385000000.0
Caribbean small states,2011,22435000000.0
Caribbean small states,2010,17222000000.0
Caribbean small states,2009,14444000000.0
Caribbean small states,2008,25943000000.0
Caribbean small states,2007,19739000000.0
Caribbean small states,2006,19801000000.0
Caribbean small states,2005,14542000000.0
Caribbean small states,2004,10734000000.0
Caribbean small states,2003,8755000000.0
Caribbean small states,2002,7154000000.0
Caribbean small states,2001,7476000000.0
Caribbean small states,2000,7784000000.0
Caribbean small states,1999,6105000000.0
Caribbean small states,1998,5396000000.0
Caribbean small states,1997,5987000000.0
Caribbean small states,1996,5852000000.0
Caribbean small states,1995,5681000000.0
Caribbean small states,1994,4599000000.0
Caribbean small states,1993,4280000000.0
Caribbean small states,1992,4310000000.0
Caribbean small states,1991,4593000000.0
Caribbean small states,1990,4771000000.0
Caribbean small states,1989,6441000000.0
Caribbean small states,1988,5704000000.0
Caribbean small states,1987,5952000000.0
Caribbean small states,1986,5863000000.0
Caribbean small states,1985,6616000000.0
Caribbean small states,1984,7504000000.0
Caribbean small states,1983,8175000000.0
Caribbean small states,1982,9565000000.0
Caribbean small states,1981,12234000000.0
Caribbean small states,1980,11446000000.0
Caribbean small states,1979,8324000000.0
Caribbean small states,1978,6914000000.0
Caribbean small states,1977,7019000000.0
Caribbean small states,1976,6599000000.0
Caribbean small states,1975,5943000000.0
Caribbean small states,1974,4837000000.0
Caribbean small states,1973,2084000000.0
Caribbean small states,1972,1727000000.0
Caribbean small states,1971,1541000000.0
Caribbean small states,1970,1293000000.0
Caribbean small states,1969,1133000000.0
Caribbean small states,1968,1064000000.0
Caribbean small states,1967,1003000000.0
Caribbean small states,1966,962960079.840319
Caribbean small states,1965,872870259.481038
Caribbean small states,1964,861871894.2413
Caribbean small states,1963,819878136.053209
Caribbean small states,1962,734890768.291596
Caribbean small states,1961,713893889.19755
Caribbean small states,1960,623907264.508783
Central Europe and the Baltics,2022,1196603000000.0
Central Europe and the Baltics,2021,1103774000000.0
Central Europe and the Baltics,2020,903219000000.0
Central Europe and the Baltics,2019,916319000000.0
Central Europe and the Baltics,2018,925336000000.0
Central Europe and the Baltics,2017,829023000000.0
Central Europe and the Baltics,2016,732799000000.0
Central Europe and the Baltics,2015,712006000000.0
Central Europe and the Baltics,2014,803759000000.0
Central Europe and the Baltics,2013,765939000000.0
Central Europe and the Baltics,2012,715577000000.0
Central Europe and the Baltics,2011,740835000000.0
Central Europe and the Baltics,2010,607232000000.0
Central Europe and the Baltics,2009,515380000000.0
Central Europe and the Baltics,2008,663388000000.0
Central Europe and the Baltics,2007,554625000000.0
Central Europe and the Baltics,2006,434033000000.0
Central Europe and the Baltics,2005,354432000000.0
Central Europe and the Baltics,2004,304462000000.0
Central Europe and the Baltics,2003,227230000000.0
Central Europe and the Baltics,2002,175525000000.0
Central Europe and the Baltics,2001,153397000000.0
Central Europe and the Baltics,2000,138839000000.0
Central Europe and the Baltics,1999,122262000000.0
Central Europe and the Baltics,1998,122745000000.0
Central Europe and the Baltics,1997,111037000000.0
Central Europe and the Baltics,1996,103946000000.0
Central Europe and the Baltics,1995,97623000000.0
Central Europe and the Baltics,1994,76138000000.0
Central Europe and the Baltics,1993,65266000000.0
Central Europe and the Baltics,1992,68782570829.9332
Central Europe and the Baltics,1991,
Central Europe and the Baltics,1990,
Central Europe and the Baltics,1989,
Central Europe and the Baltics,1988,
Central Europe and the Baltics,1987,
Central Europe and the Baltics,1986,
Central Europe and the Baltics,1985,
Central Europe and the Baltics,1984,
Central Europe and the Baltics,1983,
Central Europe and the Baltics,1982,
Central Europe and the Baltics,1981,
Central Europe and the Baltics,1980,
Central Europe and the Baltics,1979,
Central Europe and the Baltics,1978,
Central Europe and the Baltics,1977,
Central Europe and the Baltics,1976,
Central Europe and the Baltics,1975,
Central Europe and the Baltics,1974,
Central Europe and the Baltics,1973,
Central Europe and the Baltics,1972,
Central Europe and the Baltics,1971,
Central Europe and the Baltics,1970,
Central Europe and the Baltics,1969,
Central Europe and the Baltics,1968,
Central Europe and the Baltics,1967,
Central Europe and the Baltics,1966,
Central Europe and the Baltics,1965,
Central Europe and the Baltics,1964,
Central Europe and the Baltics,1963,
Central Europe and the Baltics,1962,
Central Europe and the Baltics,1961,
Central Europe and the Baltics,1960,
Early-demographic dividend,2022,3069848075881.74
Early-demographic dividend,2021,2571291351670.62
Early-demographic dividend,2020,1895411507563.07
Early-demographic dividend,2019,2221198968689.06
Early-demographic dividend,2018,2306881351264.14
Early-demographic dividend,2017,2070205930535.93
Early-demographic dividend,2016,1821758955126.73
Early-demographic dividend,2015,1884981383554.13
Early-demographic dividend,2014,2314044991479.9
Early-demographic dividend,2013,2375506541883.33
Early-demographic dividend,2012,2398308861172.68
Early-demographic dividend,2011,2347827020926.67
Early-demographic dividend,2010,1886719237021.79
Early-demographic dividend,2009,1471092960372.73
Early-demographic dividend,2008,1970840955106.04
Early-demographic dividend,2007,1615520996774.19
Early-demographic dividend,2006,1416601844125.58
Early-demographic dividend,2005,1192605946451.15
Early-demographic dividend,2004,952668046200.421
Early-demographic dividend,2003,775711317069.651
Early-demographic dividend,2002,682987424534.024
Early-demographic dividend,2001,651403739681.133
Early-demographic dividend,2000,697288677206.24
Early-demographic dividend,1999,556629660566.149
Early-demographic dividend,1998,495650624777.592
Early-demographic dividend,1997,543802980565.513
Early-demographic dividend,1996,506692401130.282
Early-demographic dividend,1995,442548990450.441
Early-demographic dividend,1994,374894835466.984
Early-demographic dividend,1993,337798270979.074
Early-demographic dividend,1992,331443493437.199
Early-demographic dividend,1991,314368297089.244
Early-demographic dividend,1990,309209489843.465
Early-demographic dividend,1989,255538656540.806
Early-demographic dividend,1988,223419385991.124
Early-demographic dividend,1987,206506975988.95
Early-demographic dividend,1986,176372854329.685
Early-demographic dividend,1985,213942037154.367
Early-demographic dividend,1984,233379715105.139
Early-demographic dividend,1983,239610869457.853
Early-demographic dividend,1982,275477977133.541
Early-demographic dividend,1981,321924074194.532
Early-demographic dividend,1980,312676571317.812
Early-demographic dividend,1979,213841233550.57
Early-demographic dividend,1978,151841885687.087
Early-demographic dividend,1977,147675632064.597
Early-demographic dividend,1976,127412073236.966
Early-demographic dividend,1975,107006078388.054
Early-demographic dividend,1974,118739754341.213
Early-demographic dividend,1973,56390420825.438
Early-demographic dividend,1972,38711058383.9189
Early-demographic dividend,1971,34195502392.5904
Early-demographic dividend,1970,30268976504.4864
Early-demographic dividend,1969,27727439659.0948
Early-demographic dividend,1968,25376441247.0941
Early-demographic dividend,1967,24221942244.774
Early-demographic dividend,1966,22523486747.1282
Early-demographic dividend,1965,21326987337.4476
Early-demographic dividend,1964,20324099561.6966
Early-demographic dividend,1963,18504764842.8673
Early-demographic dividend,1962,16380158870.5407
Early-demographic dividend,1961,15688688749.3641
Early-demographic dividend,1960,15424393503.0476
East Asia & Pacific,2022,8563047322329.34
East Asia & Pacific,2021,8016418301753.19
East Asia & Pacific,2020,6336835238530.5
East Asia & Pacific,2019,6371026239817.51
East Asia & Pacific,2018,6500482244690.48
East Asia & Pacific,2017,6011228226274.03
East Asia & Pacific,2016,5426277204255.37
East Asia & Pacific,2015,5632022212000.0
East Asia & Pacific,2014,6052694227834.89
East Asia & Pacific,2013,5911983711091.44
East Asia & Pacific,2012,5761853159753.97
East Asia & Pacific,2011,5609762601218.6
East Asia & Pacific,2010,4798371621477.0
East Asia & Pacific,2009,3683936528840.19
East Asia & Pacific,2008,4483283464351.39
East Asia & Pacific,2007,3950757508710.06
East Asia & Pacific,2006,3416824547901.65
East Asia & Pacific,2005,2927862752244.77
East Asia & Pacific,2004,2547824356596.75
East Asia & Pacific,2003,2054219543888.91
East Asia & Pacific,2002,1736807142089.58
East Asia & Pacific,2001,1609337177548.59
East Asia & Pacific,2000,1771084401459.09
East Asia & Pacific,1999,1493303299542.28
East Asia & Pacific,1998,1398306580720.16
East Asia & Pacific,1997,1493235299027.74
East Asia & Pacific,1996,1413926698914.63
East Asia & Pacific,1995,1400580597927.22
East Asia & Pacific,1994,1189479000561.55
East Asia & Pacific,1993,1030841985423.95
East Asia & Pacific,1992,949016029243.794
East Asia & Pacific,1991,857699482608.464
East Asia & Pacific,1990,764872364497.714
East Asia & Pacific,1989,705844033054.885
East Asia & Pacific,1988,652256760058.953
East Asia & Pacific,1987,544659229234.955
East Asia & Pacific,1986,455280730648.737
East Asia & Pacific,1985,401425943613.341
East Asia & Pacific,1984,396842174356.065
East Asia & Pacific,1983,343913744878.992
East Asia & Pacific,1982,329122035529.782
East Asia & Pacific,1981,343151450646.332
East Asia & Pacific,1980,309807580477.354
East Asia & Pacific,1979,243496090085.251
East Asia & Pacific,1978,205278602280.982
East Asia & Pacific,1977,170897731529.562
East Asia & Pacific,1976,144577875502.433
East Asia & Pacific,1975,118007870837.923
East Asia & Pacific,1974,117860192726.698
East Asia & Pacific,1973,83124693585.7376
East Asia & Pacific,1972,58316780125.9137
East Asia & Pacific,1971,47089225220.7954
East Asia & Pacific,1970,39545586192.2939
East Asia & Pacific,1969,34189994281.1284
East Asia & Pacific,1968,28530004630.4988
East Asia & Pacific,1967,25040983676.1792
East Asia & Pacific,1966,24106693584.7547
East Asia & Pacific,1965,21821199006.2701
East Asia & Pacific,1964,19372957121.5373
East Asia & Pacific,1963,17299435886.3759
East Asia & Pacific,1962,15530312390.6786
East Asia & Pacific,1961,15028005889.9127
East Asia & Pacific,1960,15334412855.3799
East Asia & Pacific (excluding high income),2022,5052356345357.43
East Asia & Pacific (excluding high income),2021,4636365316922.06
East Asia & Pacific (excluding high income),2020,3625111247797.07
East Asia & Pacific (excluding high income),2019,3545573242360.19
East Asia & Pacific (excluding high income),2018,3532802241487.22
East Asia & Pacific (excluding high income),2017,3220298220125.79
East Asia & Pacific (excluding high income),2016,2924021199873.56
East Asia & Pacific (excluding high income),2015,3101423212000.0
East Asia & Pacific (excluding high income),2014,3234277221081.33
East Asia & Pacific (excluding high income),2013,3073187210069.91
East Asia & Pacific (excluding high income),2012,2897746198077.51
East Asia & Pacific (excluding high income),2011,2733099186822.95
East Asia & Pacific (excluding high income),2010,2279212155797.18
East Asia & Pacific (excluding high income),2009,1747631119460.57
East Asia & Pacific (excluding high income),2008,2083596142425.7
East Asia & Pacific (excluding high income),2007,1787992122219.48
East Asia & Pacific (excluding high income),2006,1467502100312.16
East Asia & Pacific (excluding high income),2005,1189313081296.35
East Asia & Pacific (excluding high income),2004,964348065918.701
East Asia & Pacific (excluding high income),2003,753482051504.804
East Asia & Pacific (excluding high income),2002,608006496992.492
East Asia & Pacific (excluding high income),2001,531645681021.527
East Asia & Pacific (excluding high income),2000,541844790006.439
East Asia & Pacific (excluding high income),1999,443755741853.479
East Asia & Pacific (excluding high income),1998,406447343186.052
East Asia & Pacific (excluding high income),1997,415925444466.471
East Asia & Pacific (excluding high income),1996,369167944828.514
East Asia & Pacific (excluding high income),1995,354511788216.8
East Asia & Pacific (excluding high income),1994,288945087588.823
East Asia & Pacific (excluding high income),1993,232556338341.483
East Asia & Pacific (excluding high income),1992,209372207993.505
East Asia & Pacific (excluding high income),1991,179821767254.497
East Asia & Pacific (excluding high income),1990,155615587076.228
East Asia & Pacific (excluding high income),1989,134294547563.702
East Asia & Pacific (excluding high income),1988,116721690794.747
East Asia & Pacific (excluding high income),1987,96868872431.7264
East Asia & Pacific (excluding high income),1986,79367269421.6581
East Asia & Pacific (excluding high income),1985,77432092174.5449
East Asia & Pacific (excluding high income),1984,81508465538.4899
East Asia & Pacific (excluding high income),1983,72846672185.907
East Asia & Pacific (excluding high income),1982,72449635820.4786
East Asia & Pacific (excluding high income),1981,72457636553.2832
East Asia & Pacific (excluding high income),1980,69005320348.0972
East Asia & Pacific (excluding high income),1979,53614287909.9041
East Asia & Pacific (excluding high income),1978,39224248507.9588
East Asia & Pacific (excluding high income),1977,33547537490.7856
East Asia & Pacific (excluding high income),1976,28279582285.7666
East Asia & Pacific (excluding high income),1975,24745526423.5761
East Asia & Pacific (excluding high income),1974,25623179177.3534
East Asia & Pacific (excluding high income),1973,16814032721.9018
East Asia & Pacific (excluding high income),1972,10067013468.4148
East Asia & Pacific (excluding high income),1971,8142497325.40475
East Asia & Pacific (excluding high income),1970,7382068807.0332
East Asia & Pacific (excluding high income),1969,7044666877.29998
East Asia & Pacific (excluding high income),1968,6456507017.91609
East Asia & Pacific (excluding high income),1967,6274044947.15401
East Asia & Pacific (excluding high income),1966,6665471959.29165
East Asia & Pacific (excluding high income),1965,6449371629.67399
East Asia & Pacific (excluding high income),1964,5950913793.90497
East Asia & Pacific (excluding high income),1963,5570699534.7192
East Asia & Pacific (excluding high income),1962,5182330546.11389
East Asia & Pacific (excluding high income),1961,5484055534.63665
East Asia & Pacific (excluding high income),1960,6235309982.41122
East Asia & Pacific (IDA & IBRD countries),2022,5052276345813.69
East Asia & Pacific (IDA & IBRD countries),2021,4636316317342.43
East Asia & Pacific (IDA & IBRD countries),2020,3625033248123.03
East Asia & Pacific (IDA & IBRD countries),2019,3545307242666.02
East Asia & Pacific (IDA & IBRD countries),2018,3532560241793.52
East Asia & Pacific (IDA & IBRD countries),2017,3218543220299.96
East Asia & Pacific (IDA & IBRD countries),2016,2921033199936.27
East Asia & Pacific (IDA & IBRD countries),2015,3097282212000.0
East Asia & Pacific (IDA & IBRD countries),2014,3229934221079.65
East Asia & Pacific (IDA & IBRD countries),2013,3069373116462.38
East Asia & Pacific (IDA & IBRD countries),2012,2893810908641.56
East Asia & Pacific (IDA & IBRD countries),2011,2729412777626.59
East Asia & Pacific (IDA & IBRD countries),2010,2276672662896.24
East Asia & Pacific (IDA & IBRD countries),2009,1745648009589.3
East Asia & Pacific (IDA & IBRD countries),2008,2081550320506.95
East Asia & Pacific (IDA & IBRD countries),2007,1786319289396.78
East Asia & Pacific (IDA & IBRD countries),2006,1466047086010.06
East Asia & Pacific (IDA & IBRD countries),2005,1187983173005.05
East Asia & Pacific (IDA & IBRD countries),2004,963076625708.432
East Asia & Pacific (IDA & IBRD countries),2003,752421176455.539
East Asia & Pacific (IDA & IBRD countries),2002,607002629875.148
East Asia & Pacific (IDA & IBRD countries),2001,530823295816.991
East Asia & Pacific (IDA & IBRD countries),2000,541140476492.225
East Asia & Pacific (IDA & IBRD countries),1999,443121759981.18
East Asia & Pacific (IDA & IBRD countries),1998,405799106384.097
East Asia & Pacific (IDA & IBRD countries),1997,414830264538.41
East Asia & Pacific (IDA & IBRD countries),1996,368261449021.853
East Asia & Pacific (IDA & IBRD countries),1995,353555191484.779
East Asia & Pacific (IDA & IBRD countries),1994,287913041954.58
East Asia & Pacific (IDA & IBRD countries),1993,231537900841.391
East Asia & Pacific (IDA & IBRD countries),1992,208363609614.968
East Asia & Pacific (IDA & IBRD countries),1991,177862910175.333
East Asia & Pacific (IDA & IBRD countries),1990,153759567183.953
East Asia & Pacific (IDA & IBRD countries),1989,132609388737.157
East Asia & Pacific (IDA & IBRD countries),1988,115048410273.6
East Asia & Pacific (IDA & IBRD countries),1987,95462467778.5928
East Asia & Pacific (IDA & IBRD countries),1986,77739710070.5643
East Asia & Pacific (IDA & IBRD countries),1985,76107548195.9804
East Asia & Pacific (IDA & IBRD countries),1984,80308964884.1711
East Asia & Pacific (IDA & IBRD countries),1983,71647105818.1345
East Asia & Pacific (IDA & IBRD countries),1982,71350076359.3407
East Asia & Pacific (IDA & IBRD countries),1981,71458087071.6294
East Asia & Pacific (IDA & IBRD countries),1980,68105754593.9299
East Asia & Pacific (IDA & IBRD countries),1979,52915362419.8909
East Asia & Pacific (IDA & IBRD countries),1978,38712914157.0318
East Asia & Pacific (IDA & IBRD countries),1977,33110205764.6069
East Asia & Pacific (IDA & IBRD countries),1976,27910924570.1282
East Asia & Pacific (IDA & IBRD countries),1975,24422939295.117
East Asia & Pacific (IDA & IBRD countries),1974,25289150809.9092
East Asia & Pacific (IDA & IBRD countries),1973,16594841970.3804
East Asia & Pacific (IDA & IBRD countries),1972,9935778072.11138
East Asia & Pacific (IDA & IBRD countries),1971,8036350267.3173
East Asia & Pacific (IDA & IBRD countries),1970,7285834831.73659
East Asia & Pacific (IDA & IBRD countries),1969,6952831334.18001
East Asia & Pacific (IDA & IBRD countries),1968,6372338832.39707
East Asia & Pacific (IDA & IBRD countries),1967,6192255369.97221
East Asia & Pacific (IDA & IBRD countries),1966,6578579669.25236
East Asia & Pacific (IDA & IBRD countries),1965,6365296462.35811
East Asia & Pacific (IDA & IBRD countries),1964,5873336612.49354
East Asia & Pacific (IDA & IBRD countries),1963,5498078894.70319
East Asia & Pacific (IDA & IBRD countries),1962,5114772754.01116
East Asia & Pacific (IDA & IBRD countries),1961,5412564401.37295
East Asia & Pacific (IDA & IBRD countries),1960,6154025361.18928
Euro area,2022,5898748000000.0
Euro area,2021,5472250000000.0
Euro area,2020,4504869000000.0
Euro area,2019,4836829000000.0
Euro area,2018,4996093000000.0
Euro area,2017,4562713000000.0
Euro area,2016,4162776000000.0
Euro area,2015,4139154000000.0
Euro area,2014,4758394000000.0
Euro area,2013,4674842000000.0
Euro area,2012,4515082000000.0
Euro area,2011,4718123000000.0
Euro area,2010,4044115000000.0
Euro area,2009,3633295000000.0
Euro area,2008,4670717000000.0
Euro area,2007,4222939000000.0
Euro area,2006,3576202000000.0
Euro area,2005,3197115000000.0
Euro area,2004,2981524000000.0
Euro area,2003,2505671000000.0
Euro area,2002,2086206000000.0
Euro area,2001,1954834000000.0
Euro area,2000,1925922000000.0
Euro area,1999,1859640000000.0
Euro area,1998,1863097317837.57
Euro area,1997,1760671079798.0
Euro area,1996,1790206738133.75
Euro area,1995,1737074802153.94
Euro area,1994,1404414993688.28
Euro area,1993,1234834054171.39
Euro area,1992,1325284718016.12
Euro area,1991,1238271467645.56
Euro area,1990,1254985539867.37
Euro area,1989,1027555375153.82
Euro area,1988,960017270226.253
Euro area,1987,864375947781.643
Euro area,1986,719412841857.33
Euro area,1985,571533141036.514
Euro area,1984,544197389178.096
Euro area,1983,527500221486.213
Euro area,1982,540830006816.909
Euro area,1981,558434384281.468
Euro area,1980,600132224764.708
Euro area,1979,539270282189.104
Euro area,1978,429963337752.607
Euro area,1977,356178445533.184
Euro area,1976,309020441883.964
Euro area,1975,277917233789.452
Euro area,1974,259775292273.258
Euro area,1973,195898708527.582
Euro area,1972,141478518822.308
Euro area,1971,115195355693.927
Euro area,1970,100631539678.659
Euro area,1969,85491842677.2579
Euro area,1968,73081663774.5165
Euro area,1967,64405132048.0176
Euro area,1966,59977272176.1622
Euro area,1965,54339047961.6312
Euro area,1964,48574603256.9888
Euro area,1963,42921728449.8556
Euro area,1962,39291762390.4903
Euro area,1961,37307170577.2205
Euro area,1960,34255339441.312
Europe & Central Asia,2022,9488376433481.75
Europe & Central Asia,2021,8671281171682.66
Europe & Central Asia,2020,7000788546899.22
Europe & Central Asia,2019,7552313450172.4
Europe & Central Asia,2018,7779824847278.57
Europe & Central Asia,2017,7035890028874.99
Europe & Central Asia,2016,6376310476392.5
Europe & Central Asia,2015,6473955010289.75
Europe & Central Asia,2014,7562581848528.71
Europe & Central Asia,2013,7578586735651.62
Europe & Central Asia,2012,7275797731980.76
Europe & Central Asia,2011,7448188403397.72
Europe & Central Asia,2010,6250010183401.42
Europe & Central Asia,2009,5484375650484.18
Europe & Central Asia,2008,7202530447907.35
Europe & Central Asia,2007,6337018606181.11
Europe & Central Asia,2006,5418684414047.1
Europe & Central Asia,2005,4756999797190.07
Europe & Central Asia,2004,4323934695858.49
Europe & Central Asia,2003,3588895017253.61
Europe & Central Asia,2002,2997561268787.91
Europe & Central Asia,2001,2805909575850.91
Europe & Central Asia,2000,2780208481084.19
Europe & Central Asia,1999,2631675385785.35
Europe & Central Asia,1998,2626917699531.5
Europe & Central Asia,1997,2545681772485.77
Europe & Central Asia,1996,2553400324765.06
Europe & Central Asia,1995,2448519582489.96
Europe & Central Asia,1994,1997921557780.55
Europe & Central Asia,1993,1733463958428.64
Europe & Central Asia,1992,1850500509480.17
Europe & Central Asia,1991,1742711646391.36
Europe & Central Asia,1990,1766239560660.26
Europe & Central Asia,1989,1476191948269.95
Europe & Central Asia,1988,1392993150805.98
Europe & Central Asia,1987,1256514412381.35
