Country,Year,Merchandise imports (current US$)
Central Europe and the Baltics,1986,
Central Europe and the Baltics,1985,
Central Europe and the Baltics,1984,
Central Europe and the Baltics,1983,
Central Europe and the Baltics,1982,
Central Europe and the Baltics,1981,
Central Europe and the Baltics,1980,
Central Europe and the Baltics,1979,
Central Europe and the Baltics,1978,
Central Europe and the Baltics,1977,
Central Europe and the Baltics,1976,
Central Europe and the Baltics,1975,
Central Europe and the Baltics,1974,
Central Europe and the Baltics,1973,
Central Europe and the Baltics,1972,
Central Europe and the Baltics,1971,
Central Europe and the Baltics,1970,
Central Europe and the Baltics,1969,
Central Europe and the Baltics,1968,
Central Europe and the Baltics,1967,
Central Europe and the Baltics,1966,
Central Europe and the Baltics,1965,
Central Europe and the Baltics,1964,
Central Europe and the Baltics,1963,
Central Europe and the Baltics,1962,
Central Europe and the Baltics,1961,
Central Europe and the Baltics,1960,
Early-demographic dividend,2022,3513707880722.22
Early-demographic dividend,2021,2901679838909.3
Early-demographic dividend,2020,2147440172053.03
Early-demographic dividend,2019,2523580567234.14
Early-demographic dividend,2018,2630664812566.87
Early-demographic dividend,2017,2402643765188.96
Early-demographic dividend,2016,2129839370866.3
Early-demographic dividend,2015,2286162328933.13
Early-demographic dividend,2014,2530570536659.16
Early-demographic dividend,2013,2513730016262.24
Early-demographic dividend,2012,2490778162287.09
Early-demographic dividend,2011,2369826315107.55
Early-demographic dividend,2010,1929366967515.9
Early-demographic dividend,2009,1519936705034.39
Early-demographic dividend,2008,1923304781376.59
Early-demographic dividend,2007,1559620754439.05
Early-demographic dividend,2006,1307217562312.54
Early-demographic dividend,2005,1122893603178.37
Early-demographic dividend,2004,918054098826.875
Early-demographic dividend,2003,728237662641.265
Early-demographic dividend,2002,646286815766.306
Early-demographic dividend,2001,628363045695.251
Early-demographic dividend,2000,656852512124.923
Early-demographic dividend,1999,571800361553.282
Early-demographic dividend,1998,570119318540.463
Early-demographic dividend,1997,578386118368.422
Early-demographic dividend,1996,518679001144.598
Early-demographic dividend,1995,468946808003.406
Early-demographic dividend,1994,408529560437.651
Early-demographic dividend,1993,384628859988.677
Early-demographic dividend,1992,373381117538.94
Early-demographic dividend,1991,326808221937.213
Early-demographic dividend,1990,294505313394.531
Early-demographic dividend,1989,264443355842.599
Early-demographic dividend,1988,252674565777.299
Early-demographic dividend,1987,219463390764.948
Early-demographic dividend,1986,193870284779.92
Early-demographic dividend,1985,199055352636.704
Early-demographic dividend,1984,222427154888.595
Early-demographic dividend,1983,225987520881.288
Early-demographic dividend,1982,240247217167.242
Early-demographic dividend,1981,261617516374.592
Early-demographic dividend,1980,228106521068.119
Early-demographic dividend,1979,164521143473.307
Early-demographic dividend,1978,148049171106.74
Early-demographic dividend,1977,128179949910.815
Early-demographic dividend,1976,107420682109.117
Early-demographic dividend,1975,100653680169.343
Early-demographic dividend,1974,79794613091.4827
Early-demographic dividend,1973,50296798465.8269
Early-demographic dividend,1972,36747519186.867
Early-demographic dividend,1971,33043910677.2139
Early-demographic dividend,1970,29862419622.8173
Early-demographic dividend,1969,26834553585.0767
Early-demographic dividend,1968,24673423283.1995
Early-demographic dividend,1967,23663442599.3731
Early-demographic dividend,1966,23142363150.9858
Early-demographic dividend,1965,22339983841.0189
Early-demographic dividend,1964,21001992986.4946
Early-demographic dividend,1963,18484826328.4483
Early-demographic dividend,1962,17344056779.0905
Early-demographic dividend,1961,17660648874.2262
Early-demographic dividend,1960,17388691074.4703
East Asia & Pacific,2022,7736370000000.0
East Asia & Pacific,2021,7142208000000.0
East Asia & Pacific,2020,5577213000000.0
East Asia & Pacific,2019,5857379000000.0
East Asia & Pacific,2018,6072236000000.0
East Asia & Pacific,2017,5402258000000.0
East Asia & Pacific,2016,4719038000000.0
East Asia & Pacific,2015,4935619000000.0
East Asia & Pacific,2014,5743290000000.0
East Asia & Pacific,2013,5761695365332.7
East Asia & Pacific,2012,5614132436319.21
East Asia & Pacific,2011,5385632900774.76
East Asia & Pacific,2010,4419976256450.7
East Asia & Pacific,2009,3347202568878.61
East Asia & Pacific,2008,4164490606474.1
East Asia & Pacific,2007,3519059912868.43
East Asia & Pacific,2006,3091853940703.36
East Asia & Pacific,2005,2692069331514.31
East Asia & Pacific,2004,2344967104547.92
East Asia & Pacific,2003,1869589467854.38
East Asia & Pacific,2002,1572328501324.97
East Asia & Pacific,2001,1479236216460.06
East Asia & Pacific,2000,1596814099776.62
East Asia & Pacific,1999,1290989175161.3
East Asia & Pacific,1998,1179851764411.33
East Asia & Pacific,1997,1426216093799.73
East Asia & Pacific,1996,1409084176713.14
East Asia & Pacific,1995,1343051078731.9
East Asia & Pacific,1994,1100365590483.41
East Asia & Pacific,1993,943337444223.3
East Asia & Pacific,1992,858464287439.456
East Asia & Pacific,1991,793423747910.022
East Asia & Pacific,1990,722330273184.645
East Asia & Pacific,1989,653803042885.317
East Asia & Pacific,1988,574255468588.746
East Asia & Pacific,1987,448097883841.445
East Asia & Pacific,1986,366929106085.703
East Asia & Pacific,1985,360446811290.638
East Asia & Pacific,1984,361824724216.357
East Asia & Pacific,1983,330804171785.512
East Asia & Pacific,1982,334592681834.002
East Asia & Pacific,1981,350184011750.937
East Asia & Pacific,1980,325414600966.398
East Asia & Pacific,1979,253841840320.142
East Asia & Pacific,1978,191284591455.6
East Asia & Pacific,1977,160129212218.425
East Asia & Pacific,1976,142537847024.444
East Asia & Pacific,1975,127428489147.224
East Asia & Pacific,1974,132332138787.227
East Asia & Pacific,1973,83886213240.4298
East Asia & Pacific,1972,54096088939.9569
East Asia & Pacific,1971,46546440417.473
East Asia & Pacific,1970,43222341441.1555
East Asia & Pacific,1969,36245154273.8546
East Asia & Pacific,1968,32218809206.2932
East Asia & Pacific,1967,29138182370.4929
East Asia & Pacific,1966,25969020210.8681
East Asia & Pacific,1965,23727466784.9494
East Asia & Pacific,1964,21771640995.0095
East Asia & Pacific,1963,19303718843.4033
East Asia & Pacific,1962,17237223898.6829
East Asia & Pacific,1961,17965628153.784
East Asia & Pacific,1960,17169816322.5893
East Asia & Pacific (excluding high income),2022,4130612000000.0
East Asia & Pacific (excluding high income),2021,3911821000000.0
East Asia & Pacific (excluding high income),2020,3014492000000.0
East Asia & Pacific (excluding high income),2019,3121114000000.0
East Asia & Pacific (excluding high income),2018,3202813000000.0
East Asia & Pacific (excluding high income),2017,2787970000000.0
East Asia & Pacific (excluding high income),2016,2394845000000.0
East Asia & Pacific (excluding high income),2015,2492881000000.0
East Asia & Pacific (excluding high income),2014,2842927000000.0
East Asia & Pacific (excluding high income),2013,2837498000000.0
East Asia & Pacific (excluding high income),2012,2679997000000.0
East Asia & Pacific (excluding high income),2011,2548369000000.0
East Asia & Pacific (excluding high income),2010,2050435000000.0
East Asia & Pacific (excluding high income),2009,1495855000000.0
East Asia & Pacific (excluding high income),2008,1763409000000.0
East Asia & Pacific (excluding high income),2007,1476937000000.0
East Asia & Pacific (excluding high income),2006,1248285000000.0
East Asia & Pacific (excluding high income),2005,1069602000000.0
East Asia & Pacific (excluding high income),2004,907363000000.0
East Asia & Pacific (excluding high income),2003,693339000000.0
East Asia & Pacific (excluding high income),2002,549276988593.627
East Asia & Pacific (excluding high income),2001,478620740655.415
East Asia & Pacific (excluding high income),2000,475144088788.518
East Asia & Pacific (excluding high income),1999,368030005061.965
East Asia & Pacific (excluding high income),1998,328340563352.466
East Asia & Pacific (excluding high income),1997,394892041652.662
East Asia & Pacific (excluding high income),1996,386177407672.145
East Asia & Pacific (excluding high income),1995,365683565108.07
East Asia & Pacific (excluding high income),1994,296877664107.073
East Asia & Pacific (excluding high income),1993,252658117163.704
East Asia & Pacific (excluding high income),1992,212691969464.836
East Asia & Pacific (excluding high income),1991,186110224844.858
East Asia & Pacific (excluding high income),1990,160215706302.248
East Asia & Pacific (excluding high income),1989,144570559504.503
East Asia & Pacific (excluding high income),1988,123639673852.585
East Asia & Pacific (excluding high income),1987,97360348857.1881
East Asia & Pacific (excluding high income),1986,86748102868.7236
East Asia & Pacific (excluding high income),1985,86614949216.2269
East Asia & Pacific (excluding high income),1984,79088263806.6725
East Asia & Pacific (excluding high income),1983,75853531090.7547
East Asia & Pacific (excluding high income),1982,71871936534.5167
East Asia & Pacific (excluding high income),1981,71757804832.3766
East Asia & Pacific (excluding high income),1980,64845828765.9276
East Asia & Pacific (excluding high income),1979,49602392542.9083
East Asia & Pacific (excluding high income),1978,38455359695.3339
East Asia & Pacific (excluding high income),1977,30404553362.8847
East Asia & Pacific (excluding high income),1976,26710484506.3544
East Asia & Pacific (excluding high income),1975,26438831531.9466
East Asia & Pacific (excluding high income),1974,24722478648.1883
East Asia & Pacific (excluding high income),1973,16301236441.5466
East Asia & Pacific (excluding high income),1972,10768365065.0666
East Asia & Pacific (excluding high income),1971,8990272868.94285
East Asia & Pacific (excluding high income),1970,8611605086.43502
East Asia & Pacific (excluding high income),1969,7762689541.41066
East Asia & Pacific (excluding high income),1968,7501326452.39709
East Asia & Pacific (excluding high income),1967,7279064927.88163
East Asia & Pacific (excluding high income),1966,7004324987.85556
East Asia & Pacific (excluding high income),1965,6680193597.93717
East Asia & Pacific (excluding high income),1964,5908452193.36956
East Asia & Pacific (excluding high income),1963,5152145616.89331
East Asia & Pacific (excluding high income),1962,5007058232.83461
East Asia & Pacific (excluding high income),1961,5840538949.76762
East Asia & Pacific (excluding high income),1960,6219206732.27545
East Asia & Pacific (IDA & IBRD countries),2022,4129355000000.0
East Asia & Pacific (IDA & IBRD countries),2021,3911270000000.0
East Asia & Pacific (IDA & IBRD countries),2020,3013777000000.0
East Asia & Pacific (IDA & IBRD countries),2019,3118241000000.0
East Asia & Pacific (IDA & IBRD countries),2018,3200239000000.0
East Asia & Pacific (IDA & IBRD countries),2017,2784232000000.0
East Asia & Pacific (IDA & IBRD countries),2016,2391039000000.0
East Asia & Pacific (IDA & IBRD countries),2015,2488150000000.0
East Asia & Pacific (IDA & IBRD countries),2014,2837456000000.0
East Asia & Pacific (IDA & IBRD countries),2013,2832961819438.05
East Asia & Pacific (IDA & IBRD countries),2012,2675279484260.97
East Asia & Pacific (IDA & IBRD countries),2011,2544101213933.32
East Asia & Pacific (IDA & IBRD countries),2010,2046987241467.54
East Asia & Pacific (IDA & IBRD countries),2009,1492819976781.09
East Asia & Pacific (IDA & IBRD countries),2008,1759899707199.2
East Asia & Pacific (IDA & IBRD countries),2007,1473941218292.33
East Asia & Pacific (IDA & IBRD countries),2006,1245455038440.91
East Asia & Pacific (IDA & IBRD countries),2005,1066926865744.07
East Asia & Pacific (IDA & IBRD countries),2004,905120364871.066
East Asia & Pacific (IDA & IBRD countries),2003,691317774959.804
East Asia & Pacific (IDA & IBRD countries),2002,547404930667.286
East Asia & Pacific (IDA & IBRD countries),2001,476792815323.426
East Asia & Pacific (IDA & IBRD countries),2000,473477058589.831
East Asia & Pacific (IDA & IBRD countries),1999,366867727835.605
East Asia & Pacific (IDA & IBRD countries),1998,327340706840.667
East Asia & Pacific (IDA & IBRD countries),1997,393520810695.368
East Asia & Pacific (IDA & IBRD countries),1996,384872837024.579
East Asia & Pacific (IDA & IBRD countries),1995,364318145961.115
East Asia & Pacific (IDA & IBRD countries),1994,295629469591.223
East Asia & Pacific (IDA & IBRD countries),1993,251027953951.927
East Asia & Pacific (IDA & IBRD countries),1992,210990128216.107
East Asia & Pacific (IDA & IBRD countries),1991,183356895817.223
East Asia & Pacific (IDA & IBRD countries),1990,157291243882.772
East Asia & Pacific (IDA & IBRD countries),1989,141670459612.107
East Asia & Pacific (IDA & IBRD countries),1988,120804733174.865
East Asia & Pacific (IDA & IBRD countries),1987,95103515679.1432
East Asia & Pacific (IDA & IBRD countries),1986,84646814645.8235
East Asia & Pacific (IDA & IBRD countries),1985,84831038409.7196
East Asia & Pacific (IDA & IBRD countries),1984,77391001510.1985
East Asia & Pacific (IDA & IBRD countries),1983,74256193875.6405
East Asia & Pacific (IDA & IBRD countries),1982,70374479024.4167
East Asia & Pacific (IDA & IBRD countries),1981,70260340388.0898
East Asia & Pacific (IDA & IBRD countries),1980,63648309209.993
East Asia & Pacific (IDA & IBRD countries),1979,48686376259.0284
East Asia & Pacific (IDA & IBRD countries),1978,37745197667.3044
East Asia & Pacific (IDA & IBRD countries),1977,29843067020.0554
East Asia & Pacific (IDA & IBRD countries),1976,26217217195.9726
East Asia & Pacific (IDA & IBRD countries),1975,25950580885.7894
East Asia & Pacific (IDA & IBRD countries),1974,24265924198.7225
East Asia & Pacific (IDA & IBRD countries),1973,16000198583.0418
East Asia & Pacific (IDA & IBRD countries),1972,10569503735.1049
East Asia & Pacific (IDA & IBRD countries),1971,8824247886.63274
East Asia & Pacific (IDA & IBRD countries),1970,8452573030.01367
East Asia & Pacific (IDA & IBRD countries),1969,7619334560.69102
East Asia & Pacific (IDA & IBRD countries),1968,7362798110.74198
East Asia & Pacific (IDA & IBRD countries),1967,7144641129.68296
East Asia & Pacific (IDA & IBRD countries),1966,6874974861.42945
East Asia & Pacific (IDA & IBRD countries),1965,6556829264.05171
East Asia & Pacific (IDA & IBRD countries),1964,5799339746.48566
East Asia & Pacific (IDA & IBRD countries),1963,5057000019.27094
East Asia & Pacific (IDA & IBRD countries),1962,4914591989.96852
East Asia & Pacific (IDA & IBRD countries),1961,5732680668.93985
East Asia & Pacific (IDA & IBRD countries),1960,6104355525.55892
Euro area,2022,6121370000000.0
Euro area,2021,5307025000000.0
Euro area,2020,4204954000000.0
Euro area,2019,4559978000000.0
Euro area,2018,4740489000000.0
Euro area,2017,4264771000000.0
Euro area,2016,3833516000000.0
Euro area,2015,3835842000000.0
Euro area,2014,4469115000000.0
Euro area,2013,4419249000000.0
Euro area,2012,4351317000000.0
Euro area,2011,4688558000000.0
Euro area,2010,4002092000000.0
Euro area,2009,3562688000000.0
Euro area,2008,4705282000000.0
Euro area,2007,4175772000000.0
Euro area,2006,3557992000000.0
Euro area,2005,3135558000000.0
Euro area,2004,2851108000000.0
Euro area,2003,2380435000000.0
Euro area,2002,1950392000000.0
Euro area,2001,1882030000000.0
Euro area,2000,1913280000000.0
Euro area,1999,1788454000000.0
Euro area,1998,1761037544316.45
Euro area,1997,1646512449296.9
Euro area,1996,1673941105846.72
Euro area,1995,1638723859936.52
Euro area,1994,1345507095831.99
Euro area,1993,1184598743923.75
Euro area,1992,1380130954836.11
Euro area,1991,1314945253963.3
Euro area,1990,1273230678402.17
Euro area,1989,1024759248960.01
Euro area,1988,937037984326.774
Euro area,1987,841955919315.525
Euro area,1986,682805879611.691
Euro area,1985,577552956149.612
Euro area,1984,556485954151.129
Euro area,1983,551595620994.396
Euro area,1982,582268995988.504
Euro area,1981,612854662087.183
Euro area,1980,684753466879.445
Euro area,1979,569849191501.008
Euro area,1978,433449489904.102
Euro area,1977,372100490969.848
Euro area,1976,331567736550.989
Euro area,1975,287016115564.605
Euro area,1974,278130529773.731
Euro area,1973,202707626542.012
Euro area,1972,145866639938.257
Euro area,1971,121027030963.264
Euro area,1970,108181051201.819
Euro area,1969,91510738705.0211
Euro area,1968,75406036136.4447
Euro area,1967,68236396171.5486
Euro area,1966,66730726799.9996
Euro area,1965,61171332197.3574
Euro area,1964,55032833990.2734
Euro area,1963,49360992085.7978
Euro area,1962,43679029924.1572
Euro area,1961,39380169575.0672
Euro area,1960,35778482497.3441
Europe & Central Asia,2022,9735934256394.41
Europe & Central Asia,2021,8515911535925.03
Europe & Central Asia,2020,6877623821945.94
Europe & Central Asia,2019,7345418772541.35
Europe & Central Asia,2018,7531405830281.02
Europe & Central Asia,2017,6857284649690.41
Europe & Central Asia,2016,6187676068975.09
Europe & Central Asia,2015,6175469137202.22
Europe & Central Asia,2014,7225791702814.15
Europe & Central Asia,2013,7224410681888.02
Europe & Central Asia,2012,7118213397504.38
Europe & Central Asia,2011,7380664607008.02
Europe & Central Asia,2010,6232037978023.7
Europe & Central Asia,2009,5466373927543.24
Europe & Central Asia,2008,7308757538436.62
Europe & Central Asia,2007,6424787233824.06
Europe & Central Asia,2006,5449080071215.62
Europe & Central Asia,2005,4718855073410.75
Europe & Central Asia,2004,4240446488535.15
Europe & Central Asia,2003,3500936968666.88
Europe & Central Asia,2002,2897266205644.66
Europe & Central Asia,2001,2756360697931.22
Europe & Central Asia,2000,2784708581279.18
Europe & Central Asia,1999,2597626617118.02
Europe & Central Asia,1998,2604041383137.36
Europe & Central Asia,1997,2475792421563.79
Europe & Central Asia,1996,2464657681488.54
Europe & Central Asia,1995,2367521952276.68
Europe & Central Asia,1994,1948164440073.81
Europe & Central Asia,1993,1713082132423.85
Europe & Central Asia,1992,1930513363427.82
Europe & Central Asia,1991,1846698135204.32
Europe & Central Asia,1990,1824830809896.52
Europe & Central Asia,1989,1516355771347.93
Europe & Central Asia,1988,1412900614617.21
Europe & Central Asia,1987,1260765711276.71
