Country,Year,Net migration
Africa Western and Central,1978,-81679.0
Africa Western and Central,1977,-75777.0
Africa Western and Central,1976,-137370.0
Africa Western and Central,1975,-4921.0
Africa Western and Central,1974,-3597.0
Africa Western and Central,1973,-51885.0
Africa Western and Central,1972,-56426.0
Africa Western and Central,1971,-86991.0
Africa Western and Central,1970,6159.0
Africa Western and Central,1969,-16684.0
Africa Western and Central,1968,-2360.0
Africa Western and Central,1967,9625.0
Africa Western and Central,1966,-21743.0
Africa Western and Central,1965,-15985.0
Africa Western and Central,1964,-45534.0
Africa Western and Central,1963,-37435.0
Africa Western and Central,1962,-36399.0
Africa Western and Central,1961,-41547.0
Africa Western and Central,1960,-847.0
Arab World,2022,
Arab World,2021,-458710.0
Arab World,2020,-1585167.0
Arab World,2019,139844.0
Arab World,2018,511128.0
Arab World,2017,13305.0
Arab World,2016,3140.0
Arab World,2015,-194516.0
Arab World,2014,-184490.0
Arab World,2013,340149.0
Arab World,2012,-66311.0
Arab World,2011,-864858.0
Arab World,2010,39096.0
Arab World,2009,1117576.0
Arab World,2008,1470703.0
Arab World,2007,1631375.0
Arab World,2006,1327595.0
Arab World,2005,820217.0
Arab World,2004,10402.0
Arab World,2003,-247339.0
Arab World,2002,-87387.0
Arab World,2001,-182158.0
Arab World,2000,-4273.0
Arab World,1999,-34533.0
Arab World,1998,-23185.0
Arab World,1997,17793.0
Arab World,1996,-144006.0
Arab World,1995,-106482.0
Arab World,1994,-157334.0
Arab World,1993,731021.0
Arab World,1992,-263405.0
Arab World,1991,-322443.0
Arab World,1990,-2012275.0
Arab World,1989,-229037.0
Arab World,1988,-487966.0
Arab World,1987,-86700.0
Arab World,1986,173017.0
Arab World,1985,-73250.0
Arab World,1984,158418.0
Arab World,1983,270068.0
Arab World,1982,292311.0
Arab World,1981,-18224.0
Arab World,1980,467972.0
Arab World,1979,882288.0
Arab World,1978,6296.0
Arab World,1977,273825.0
Arab World,1976,1160872.0
Arab World,1975,461003.0
Arab World,1974,86457.0
Arab World,1973,-25001.0
Arab World,1972,-65527.0
Arab World,1971,-100946.0
Arab World,1970,-62613.0
Arab World,1969,-49053.0
Arab World,1968,-38322.0
Arab World,1967,-68591.0
Arab World,1966,-88973.0
Arab World,1965,-186104.0
Arab World,1964,-173533.0
Arab World,1963,-184289.0
Arab World,1962,-144522.0
Arab World,1961,-176004.0
Arab World,1960,-111478.0
Caribbean small states,2022,
Caribbean small states,2021,-7303.0
Caribbean small states,2020,2389.0
Caribbean small states,2019,-53765.0
Caribbean small states,2018,54518.0
Caribbean small states,2017,-15824.0
Caribbean small states,2016,-17915.0
Caribbean small states,2015,-19122.0
Caribbean small states,2014,-17545.0
Caribbean small states,2013,-19814.0
Caribbean small states,2012,-19619.0
Caribbean small states,2011,-28184.0
Caribbean small states,2010,-30222.0
Caribbean small states,2009,-31939.0
Caribbean small states,2008,-33690.0
Caribbean small states,2007,-34155.0
Caribbean small states,2006,-34649.0
Caribbean small states,2005,-35732.0
Caribbean small states,2004,-35485.0
Caribbean small states,2003,-33189.0
Caribbean small states,2002,-34708.0
Caribbean small states,2001,-36347.0
Caribbean small states,2000,-38012.0
Caribbean small states,1999,-38675.0
Caribbean small states,1998,-39628.0
Caribbean small states,1997,-40516.0
Caribbean small states,1996,-41711.0
Caribbean small states,1995,-43158.0
Caribbean small states,1994,-48142.0
Caribbean small states,1993,-53969.0
Caribbean small states,1992,-53577.0
Caribbean small states,1991,-59294.0
Caribbean small states,1990,-73598.0
Caribbean small states,1989,-74522.0
Caribbean small states,1988,-75556.0
Caribbean small states,1987,-77824.0
Caribbean small states,1986,-72434.0
Caribbean small states,1985,-66422.0
Caribbean small states,1984,-66423.0
Caribbean small states,1983,-63061.0
Caribbean small states,1982,-61260.0
Caribbean small states,1981,-60424.0
Caribbean small states,1980,-59748.0
Caribbean small states,1979,-64034.0
Caribbean small states,1978,-62241.0
Caribbean small states,1977,-60862.0
Caribbean small states,1976,-59880.0
Caribbean small states,1975,-59285.0
Caribbean small states,1974,-59998.0
Caribbean small states,1973,-59608.0
Caribbean small states,1972,-59552.0
Caribbean small states,1971,-47999.0
Caribbean small states,1970,-50340.0
Caribbean small states,1969,-50479.0
Caribbean small states,1968,-52047.0
Caribbean small states,1967,-52546.0
Caribbean small states,1966,-52475.0
Caribbean small states,1965,-51752.0
Caribbean small states,1964,-51331.0
Caribbean small states,1963,-49610.0
Caribbean small states,1962,-49956.0
Caribbean small states,1961,-49945.0
Caribbean small states,1960,-46404.0
Central Europe and the Baltics,2022,
Central Europe and the Baltics,2021,-20678.0
Central Europe and the Baltics,2020,-29918.0
Central Europe and the Baltics,2019,-19843.0
Central Europe and the Baltics,2018,-61261.0
Central Europe and the Baltics,2017,-76183.0
Central Europe and the Baltics,2016,-110911.0
Central Europe and the Baltics,2015,-99535.0
Central Europe and the Baltics,2014,-88917.0
Central Europe and the Baltics,2013,-101267.0
Central Europe and the Baltics,2012,-69859.0
Central Europe and the Baltics,2011,-107546.0
Central Europe and the Baltics,2010,-129981.0
Central Europe and the Baltics,2009,-114334.0
Central Europe and the Baltics,2008,-163098.0
Central Europe and the Baltics,2007,-167129.0
Central Europe and the Baltics,2006,-181600.0
Central Europe and the Baltics,2005,-167658.0
Central Europe and the Baltics,2004,-140237.0
Central Europe and the Baltics,2003,-142746.0
Central Europe and the Baltics,2002,-164421.0
Central Europe and the Baltics,2001,-162378.0
Central Europe and the Baltics,2000,123701.0
Central Europe and the Baltics,1999,-202829.0
Central Europe and the Baltics,1998,-226121.0
Central Europe and the Baltics,1997,-227398.0
Central Europe and the Baltics,1996,-211511.0
Central Europe and the Baltics,1995,-229798.0
Central Europe and the Baltics,1994,-147465.0
Central Europe and the Baltics,1993,-146897.0
Central Europe and the Baltics,1992,-226160.0
Central Europe and the Baltics,1991,-164550.0
Central Europe and the Baltics,1990,-132482.0
Central Europe and the Baltics,1989,-134319.0
Central Europe and the Baltics,1988,-192123.0
Central Europe and the Baltics,1987,-105635.0
Central Europe and the Baltics,1986,-98400.0
Central Europe and the Baltics,1985,-62594.0
Central Europe and the Baltics,1984,-58382.0
Central Europe and the Baltics,1983,-33056.0
Central Europe and the Baltics,1982,-47504.0
Central Europe and the Baltics,1981,-48190.0
Central Europe and the Baltics,1980,-47120.0
Central Europe and the Baltics,1979,-41572.0
Central Europe and the Baltics,1978,-75799.0
Central Europe and the Baltics,1977,-52929.0
Central Europe and the Baltics,1976,51679.0
Central Europe and the Baltics,1975,35146.0
Central Europe and the Baltics,1974,35563.0
Central Europe and the Baltics,1973,64932.0
Central Europe and the Baltics,1972,36815.0
Central Europe and the Baltics,1971,18205.0
Central Europe and the Baltics,1970,-72065.0
Central Europe and the Baltics,1969,-66363.0
Central Europe and the Baltics,1968,-154155.0
Central Europe and the Baltics,1967,-186163.0
Central Europe and the Baltics,1966,-24363.0
Central Europe and the Baltics,1965,-22949.0
Central Europe and the Baltics,1964,-28005.0
Central Europe and the Baltics,1963,-29734.0
Central Europe and the Baltics,1962,-14426.0
Central Europe and the Baltics,1961,-2870.0
Central Europe and the Baltics,1960,-20932.0
Early-demographic dividend,2022,
Early-demographic dividend,2021,-1622432.0
Early-demographic dividend,2020,-2212227.0
Early-demographic dividend,2019,-3253155.0
Early-demographic dividend,2018,-3454072.0
Early-demographic dividend,2017,-3441642.0
Early-demographic dividend,2016,-3227808.0
Early-demographic dividend,2015,-2549801.0
Early-demographic dividend,2014,-2698481.0
Early-demographic dividend,2013,-4169595.0
Early-demographic dividend,2012,-3915894.0
Early-demographic dividend,2011,-3572706.0
Early-demographic dividend,2010,-2258697.0
Early-demographic dividend,2009,-3210018.0
Early-demographic dividend,2008,-4553615.0
Early-demographic dividend,2007,-2778517.0
Early-demographic dividend,2006,-2440877.0
Early-demographic dividend,2005,-3118727.0
Early-demographic dividend,2004,-2606431.0
Early-demographic dividend,2003,-2773416.0
Early-demographic dividend,2002,-3856742.0
Early-demographic dividend,2001,-1659447.0
Early-demographic dividend,2000,-1113011.0
Early-demographic dividend,1999,-1809657.0
Early-demographic dividend,1998,-1449431.0
Early-demographic dividend,1997,-1065232.0
Early-demographic dividend,1996,-37721.0
Early-demographic dividend,1995,-1065946.0
Early-demographic dividend,1994,-3820962.0
Early-demographic dividend,1993,-2765836.0
Early-demographic dividend,1992,-2341581.0
Early-demographic dividend,1991,-319075.0
Early-demographic dividend,1990,1283931.0
Early-demographic dividend,1989,-514615.0
Early-demographic dividend,1988,-498776.0
Early-demographic dividend,1987,-591428.0
Early-demographic dividend,1986,-788842.0
Early-demographic dividend,1985,-504231.0
Early-demographic dividend,1984,-1051776.0
Early-demographic dividend,1983,-173449.0
Early-demographic dividend,1982,-93299.0
Early-demographic dividend,1981,1796064.0
Early-demographic dividend,1980,-299310.0
Early-demographic dividend,1979,-1056900.0
Early-demographic dividend,1978,-1221956.0
Early-demographic dividend,1977,-1343183.0
Early-demographic dividend,1976,-1457828.0
Early-demographic dividend,1975,-1064921.0
Early-demographic dividend,1974,-1214541.0
Early-demographic dividend,1973,-1051097.0
Early-demographic dividend,1972,-1055783.0
Early-demographic dividend,1971,-1268493.0
Early-demographic dividend,1970,-870902.0
Early-demographic dividend,1969,-706864.0
Early-demographic dividend,1968,-526337.0
Early-demographic dividend,1967,-476112.0
Early-demographic dividend,1966,-581746.0
Early-demographic dividend,1965,-437879.0
Early-demographic dividend,1964,-307698.0
Early-demographic dividend,1963,-284399.0
Early-demographic dividend,1962,-204064.0
Early-demographic dividend,1961,-241419.0
Early-demographic dividend,1960,-139849.0
East Asia & Pacific,2022,
East Asia & Pacific,2021,9227.0
East Asia & Pacific,2020,180870.0
East Asia & Pacific,2019,232677.0
East Asia & Pacific,2018,205151.0
East Asia & Pacific,2017,414719.0
East Asia & Pacific,2016,539479.0
East Asia & Pacific,2015,522034.0
East Asia & Pacific,2014,325445.0
East Asia & Pacific,2013,448601.0
East Asia & Pacific,2012,526680.0
East Asia & Pacific,2011,465510.0
East Asia & Pacific,2010,19252.0
East Asia & Pacific,2009,-72566.0
East Asia & Pacific,2008,-214278.0
East Asia & Pacific,2007,-200845.0
East Asia & Pacific,2006,-321151.0
East Asia & Pacific,2005,-521185.0
East Asia & Pacific,2004,-461359.0
East Asia & Pacific,2003,-552288.0
East Asia & Pacific,2002,-437152.0
East Asia & Pacific,2001,-467909.0
East Asia & Pacific,2000,-512945.0
East Asia & Pacific,1999,-299757.0
East Asia & Pacific,1998,-85117.0
East Asia & Pacific,1997,-216329.0
East Asia & Pacific,1996,-246490.0
East Asia & Pacific,1995,-667831.0
East Asia & Pacific,1994,-567071.0
East Asia & Pacific,1993,-787093.0
East Asia & Pacific,1992,-849505.0
East Asia & Pacific,1991,-928972.0
East Asia & Pacific,1990,78472.0
East Asia & Pacific,1989,-305354.0
East Asia & Pacific,1988,4701.0
East Asia & Pacific,1987,175281.0
East Asia & Pacific,1986,242687.0
East Asia & Pacific,1985,118477.0
East Asia & Pacific,1984,38800.0
East Asia & Pacific,1983,111241.0
East Asia & Pacific,1982,-65320.0
East Asia & Pacific,1981,-24728.0
East Asia & Pacific,1980,-327224.0
East Asia & Pacific,1979,-459381.0
East Asia & Pacific,1978,-260449.0
East Asia & Pacific,1977,-105307.0
East Asia & Pacific,1976,-310612.0
East Asia & Pacific,1975,-274634.0
East Asia & Pacific,1974,-321056.0
East Asia & Pacific,1973,-252245.0
East Asia & Pacific,1972,-159367.0
East Asia & Pacific,1971,17215.0
East Asia & Pacific,1970,-77143.0
East Asia & Pacific,1969,-77903.0
East Asia & Pacific,1968,-88409.0
East Asia & Pacific,1967,-244069.0
East Asia & Pacific,1966,-181729.0
East Asia & Pacific,1965,-293860.0
East Asia & Pacific,1964,-270963.0
East Asia & Pacific,1963,-328860.0
East Asia & Pacific,1962,-360890.0
East Asia & Pacific,1961,-314303.0
East Asia & Pacific,1960,-85134.0
East Asia & Pacific (excluding high income),2022,
East Asia & Pacific (excluding high income),2021,-323525.0
East Asia & Pacific (excluding high income),2020,-114687.0
East Asia & Pacific (excluding high income),2019,-470333.0
East Asia & Pacific (excluding high income),2018,-456693.0
East Asia & Pacific (excluding high income),2017,-220848.0
East Asia & Pacific (excluding high income),2016,-77693.0
East Asia & Pacific (excluding high income),2015,-234948.0
East Asia & Pacific (excluding high income),2014,-472530.0
East Asia & Pacific (excluding high income),2013,-338455.0
East Asia & Pacific (excluding high income),2012,-260017.0
East Asia & Pacific (excluding high income),2011,-268725.0
East Asia & Pacific (excluding high income),2010,-487107.0
East Asia & Pacific (excluding high income),2009,-644780.0
East Asia & Pacific (excluding high income),2008,-801697.0
East Asia & Pacific (excluding high income),2007,-753861.0
East Asia & Pacific (excluding high income),2006,-822377.0
East Asia & Pacific (excluding high income),2005,-882390.0
East Asia & Pacific (excluding high income),2004,-739093.0
East Asia & Pacific (excluding high income),2003,-852644.0
East Asia & Pacific (excluding high income),2002,-743578.0
East Asia & Pacific (excluding high income),2001,-741424.0
East Asia & Pacific (excluding high income),2000,-721102.0
East Asia & Pacific (excluding high income),1999,-471008.0
East Asia & Pacific (excluding high income),1998,-240276.0
East Asia & Pacific (excluding high income),1997,-331741.0
East Asia & Pacific (excluding high income),1996,-379517.0
East Asia & Pacific (excluding high income),1995,-632961.0
East Asia & Pacific (excluding high income),1994,-496819.0
East Asia & Pacific (excluding high income),1993,-670961.0
East Asia & Pacific (excluding high income),1992,-718315.0
East Asia & Pacific (excluding high income),1991,-858144.0
East Asia & Pacific (excluding high income),1990,-229630.0
East Asia & Pacific (excluding high income),1989,-637100.0
East Asia & Pacific (excluding high income),1988,-338976.0
East Asia & Pacific (excluding high income),1987,-192413.0
East Asia & Pacific (excluding high income),1986,-103271.0
East Asia & Pacific (excluding high income),1985,-95588.0
East Asia & Pacific (excluding high income),1984,-146339.0
East Asia & Pacific (excluding high income),1983,-55197.0
East Asia & Pacific (excluding high income),1982,-211868.0
East Asia & Pacific (excluding high income),1981,-134127.0
East Asia & Pacific (excluding high income),1980,-268732.0
East Asia & Pacific (excluding high income),1979,-318198.0
East Asia & Pacific (excluding high income),1978,-152369.0
East Asia & Pacific (excluding high income),1977,-53883.0
East Asia & Pacific (excluding high income),1976,-274501.0
East Asia & Pacific (excluding high income),1975,-334894.0
East Asia & Pacific (excluding high income),1974,-483040.0
East Asia & Pacific (excluding high income),1973,-461223.0
East Asia & Pacific (excluding high income),1972,-379172.0
East Asia & Pacific (excluding high income),1971,-339253.0
East Asia & Pacific (excluding high income),1970,-427170.0
East Asia & Pacific (excluding high income),1969,-270513.0
East Asia & Pacific (excluding high income),1968,-258689.0
East Asia & Pacific (excluding high income),1967,-384203.0
East Asia & Pacific (excluding high income),1966,-431662.0
East Asia & Pacific (excluding high income),1965,-434988.0
East Asia & Pacific (excluding high income),1964,-363852.0
East Asia & Pacific (excluding high income),1963,-403053.0
East Asia & Pacific (excluding high income),1962,-384837.0
East Asia & Pacific (excluding high income),1961,-336580.0
East Asia & Pacific (excluding high income),1960,-211668.0
East Asia & Pacific (IDA & IBRD countries),2022,
East Asia & Pacific (IDA & IBRD countries),2021,-322002.0
East Asia & Pacific (IDA & IBRD countries),2020,-113166.0
East Asia & Pacific (IDA & IBRD countries),2019,-467301.0
East Asia & Pacific (IDA & IBRD countries),2018,-453509.0
East Asia & Pacific (IDA & IBRD countries),2017,-217660.0
East Asia & Pacific (IDA & IBRD countries),2016,-74506.0
East Asia & Pacific (IDA & IBRD countries),2015,-231779.0
East Asia & Pacific (IDA & IBRD countries),2014,-469522.0
East Asia & Pacific (IDA & IBRD countries),2013,-335553.0
East Asia & Pacific (IDA & IBRD countries),2012,-257131.0
East Asia & Pacific (IDA & IBRD countries),2011,-265974.0
East Asia & Pacific (IDA & IBRD countries),2010,-484312.0
East Asia & Pacific (IDA & IBRD countries),2009,-641987.0
East Asia & Pacific (IDA & IBRD countries),2008,-798914.0
East Asia & Pacific (IDA & IBRD countries),2007,-751099.0
East Asia & Pacific (IDA & IBRD countries),2006,-819674.0
East Asia & Pacific (IDA & IBRD countries),2005,-879764.0
East Asia & Pacific (IDA & IBRD countries),2004,-736557.0
East Asia & Pacific (IDA & IBRD countries),2003,-850135.0
East Asia & Pacific (IDA & IBRD countries),2002,-741027.0
East Asia & Pacific (IDA & IBRD countries),2001,-738769.0
East Asia & Pacific (IDA & IBRD countries),2000,-718186.0
East Asia & Pacific (IDA & IBRD countries),1999,-467789.0
East Asia & Pacific (IDA & IBRD countries),1998,-236783.0
East Asia & Pacific (IDA & IBRD countries),1997,-328211.0
East Asia & Pacific (IDA & IBRD countries),1996,-376215.0
East Asia & Pacific (IDA & IBRD countries),1995,-630069.0
East Asia & Pacific (IDA & IBRD countries),1994,-496492.0
East Asia & Pacific (IDA & IBRD countries),1993,-671154.0
East Asia & Pacific (IDA & IBRD countries),1992,-718425.0
East Asia & Pacific (IDA & IBRD countries),1991,-858079.0
East Asia & Pacific (IDA & IBRD countries),1990,-229559.0
East Asia & Pacific (IDA & IBRD countries),1989,-637033.0
East Asia & Pacific (IDA & IBRD countries),1988,-338915.0
East Asia & Pacific (IDA & IBRD countries),1987,-192360.0
East Asia & Pacific (IDA & IBRD countries),1986,-103233.0
East Asia & Pacific (IDA & IBRD countries),1985,-95562.0
East Asia & Pacific (IDA & IBRD countries),1984,-146323.0
East Asia & Pacific (IDA & IBRD countries),1983,-54905.0
East Asia & Pacific (IDA & IBRD countries),1982,-212099.0
East Asia & Pacific (IDA & IBRD countries),1981,-134192.0
East Asia & Pacific (IDA & IBRD countries),1980,-268803.0
East Asia & Pacific (IDA & IBRD countries),1979,-318274.0
East Asia & Pacific (IDA & IBRD countries),1978,-152446.0
East Asia & Pacific (IDA & IBRD countries),1977,-53833.0
East Asia & Pacific (IDA & IBRD countries),1976,-274502.0
East Asia & Pacific (IDA & IBRD countries),1975,-334894.0
East Asia & Pacific (IDA & IBRD countries),1974,-483040.0
East Asia & Pacific (IDA & IBRD countries),1973,-461223.0
East Asia & Pacific (IDA & IBRD countries),1972,-379172.0
East Asia & Pacific (IDA & IBRD countries),1971,-339253.0
East Asia & Pacific (IDA & IBRD countries),1970,-427173.0
East Asia & Pacific (IDA & IBRD countries),1969,-270442.0
East Asia & Pacific (IDA & IBRD countries),1968,-258547.0
East Asia & Pacific (IDA & IBRD countries),1967,-384215.0
East Asia & Pacific (IDA & IBRD countries),1966,-431693.0
East Asia & Pacific (IDA & IBRD countries),1965,-434767.0
East Asia & Pacific (IDA & IBRD countries),1964,-363647.0
East Asia & Pacific (IDA & IBRD countries),1963,-402868.0
East Asia & Pacific (IDA & IBRD countries),1962,-384680.0
East Asia & Pacific (IDA & IBRD countries),1961,-336454.0
East Asia & Pacific (IDA & IBRD countries),1960,-211579.0
Euro area,2022,
Euro area,2021,819231.0
Euro area,2020,790465.0
Euro area,2019,1102506.0
Euro area,2018,1027086.0
Euro area,2017,883333.0
Euro area,2016,781283.0
Euro area,2015,676097.0
Euro area,2014,485170.0
Euro area,2013,367397.0
Euro area,2012,529516.0
Euro area,2011,656121.0
Euro area,2010,731809.0
Euro area,2009,829639.0
Euro area,2008,1287426.0
Euro area,2007,1745258.0
Euro area,2006,1335318.0
Euro area,2005,1305525.0
Euro area,2004,1459457.0
Euro area,2003,1487711.0
Euro area,2002,1305491.0
Euro area,2001,581604.0
Euro area,2000,552337.0
Euro area,1999,541019.0
Euro area,1998,539711.0
Euro area,1997,579964.0
Euro area,1996,623648.0
Euro area,1995,667986.0
Euro area,1994,696092.0
Euro area,1993,763987.0
Euro area,1992,796855.0
Euro area,1991,785488.0
Euro area,1990,592953.0
Euro area,1989,558310.0
Euro area,1988,495884.0
Euro area,1987,435102.0
Euro area,1986,389795.0
Euro area,1985,311039.0
Euro area,1984,230165.0
Euro area,1983,168467.0
Euro area,1982,102898.0
Euro area,1981,178146.0
Euro area,1980,468245.0
Euro area,1979,218087.0
Euro area,1978,232494.0
Euro area,1977,279048.0
Euro area,1976,295751.0
Euro area,1975,290362.0
Euro area,1974,441121.0
Euro area,1973,432537.0
Euro area,1972,448152.0
Euro area,1971,370612.0
Euro area,1970,-32887.0
Euro area,1969,41963.0
Euro area,1968,54721.0
Euro area,1967,134203.0
Euro area,1966,121559.0
Euro area,1965,95590.0
Euro area,1964,95301.0
Euro area,1963,88827.0
Euro area,1962,58606.0
Euro area,1961,-45732.0
Euro area,1960,-200294.0
Europe & Central Asia,2022,
Europe & Central Asia,2021,1242327.0
Europe & Central Asia,2020,1259036.0
Europe & Central Asia,2019,1314636.0
Europe & Central Asia,2018,1142576.0
Europe & Central Asia,2017,1026421.0
Europe & Central Asia,2016,1586627.0
Europe & Central Asia,2015,1514027.0
Europe & Central Asia,2014,1504844.0
Europe & Central Asia,2013,1196323.0
Europe & Central Asia,2012,1315534.0
Europe & Central Asia,2011,1121738.0
Europe & Central Asia,2010,1084683.0
Europe & Central Asia,2009,1275263.0
Europe & Central Asia,2008,1607078.0
Europe & Central Asia,2007,2002467.0
Europe & Central Asia,2006,1518429.0
Europe & Central Asia,2005,1466088.0
Europe & Central Asia,2004,1622028.0
Europe & Central Asia,2003,1644364.0
Europe & Central Asia,2002,1312672.0
Europe & Central Asia,2001,487394.0
Europe & Central Asia,2000,778557.0
Europe & Central Asia,1999,131492.0
Europe & Central Asia,1998,-454077.0
Europe & Central Asia,1997,-87120.0
Europe & Central Asia,1996,113260.0
Europe & Central Asia,1995,253274.0
Europe & Central Asia,1994,-65762.0
Europe & Central Asia,1993,387534.0
Europe & Central Asia,1992,50409.0
Europe & Central Asia,1991,413431.0
Europe & Central Asia,1990,353755.0
Europe & Central Asia,1989,207787.0
Europe & Central Asia,1988,458423.0
Europe & Central Asia,1987,451481.0
Europe & Central Asia,1986,430405.0
Europe & Central Asia,1985,264745.0
Europe & Central Asia,1984,197592.0
Europe & Central Asia,1983,225521.0
Europe & Central Asia,1982,-19231.0
Europe & Central Asia,1981,-150740.0
Europe & Central Asia,1980,230544.0
Europe & Central Asia,1979,-9184.0
Europe & Central Asia,1978,118414.0
Europe & Central Asia,1977,270020.0
Europe & Central Asia,1976,289988.0
Europe & Central Asia,1975,189948.0
Europe & Central Asia,1974,337368.0
Europe & Central Asia,1973,293278.0
Europe & Central Asia,1972,362812.0
Europe & Central Asia,1971,241881.0
Europe & Central Asia,1970,-416843.0
Europe & Central Asia,1969,159732.0
Europe & Central Asia,1968,149095.0
Europe & Central Asia,1967,298119.0
Europe & Central Asia,1966,363733.0
Europe & Central Asia,1965,118297.0
Europe & Central Asia,1964,184383.0
Europe & Central Asia,1963,199006.0
Europe & Central Asia,1962,182103.0
Europe & Central Asia,1961,149511.0
Europe & Central Asia,1960,-201349.0
Europe & Central Asia (excluding high income),2022,
Europe & Central Asia (excluding high income),2021,92645.0
Europe & Central Asia (excluding high income),2020,105919.0
Europe & Central Asia (excluding high income),2019,-177605.0
Europe & Central Asia (excluding high income),2018,-234824.0
Europe & Central Asia (excluding high income),2017,-214294.0
Europe & Central Asia (excluding high income),2016,442175.0
Europe & Central Asia (excluding high income),2015,455986.0
Europe & Central Asia (excluding high income),2014,592084.0
Europe & Central Asia (excluding high income),2013,396828.0
Europe & Central Asia (excluding high income),2012,331662.0
Europe & Central Asia (excluding high income),2011,45241.0
Europe & Central Asia (excluding high income),2010,-39193.0
Europe & Central Asia (excluding high income),2009,56929.0
Europe & Central Asia (excluding high income),2008,-50803.0
Europe & Central Asia (excluding high income),2007,-80104.0
Europe & Central Asia (excluding high income),2006,-81288.0
Europe & Central Asia (excluding high income),2005,-96327.0
Europe & Central Asia (excluding high income),2004,-102569.0
